gene	T1a	T1b	T2	T3	N1	N2
Gene_00001	0	0	2	0	0	1
Gene_00002	20	8	12	5	19	26
Gene_00003	3	0	2	0	0	0
Gene_00004	75	84	241	149	271	257
Gene_00005	10	16	4	0	4	10
Gene_00006	129	126	451	223	243	149
Gene_00007	13	4	21	19	31	4
Gene_00008	0	3	0	0	0	0
Gene_00009	202	122	256	43	287	357
Gene_00010	10	8	56	145	14	15
Gene_00011	2	3	5	0	3	0
Gene_00012	104	60	218	213	111	121
Gene_00013	6	6	22	13	15	6
Gene_00014	0	0	4	0	0	0
Gene_00015	35	30	154	238	201	71
Gene_00016	28	13	77	56	29	45
Gene_00017	7	7	52	18	21	27
Gene_00018	143	139	229	110	430	71
Gene_00019	57	116	93	349	142	79
Gene_00020	583	293	4	5	1785	174
Gene_00021	0	3	0	0	0	2
Gene_00022	0	0	4	0	0	0
Gene_00023	154	170	284	55	142	62
Gene_00024	0	0	2	0	27	8
Gene_00025	22	18	193	123	369	108
Gene_00026	0	0	4	0	0	0
Gene_00027	137	220	1319	2057	1989	428
Gene_00028	389	364	829	590	954	726
Gene_00029	13	7	27	15	7	8
Gene_00030	6	10	19	26	22	6
Gene_00031	35	22	56	4	0	16
Gene_00032	11	13	19	23	6	22
Gene_00033	970	966	1084	5972	2926	920
Gene_00034	33	21	47	59	62	79
Gene_00035	16	18	16	10	34	11
Gene_00036	0	0	0	4	0	6
Gene_00037	70	92	71	78	10	45
Gene_00038	2	5	9	6	6	25
Gene_00039	3	1	32	1	0	5
Gene_00040	0	0	1	0	0	0
Gene_00041	18	27	54	60	34	28
Gene_00042	0	0	0	1	0	0
Gene_00043	149	130	169	241	97	80
Gene_00044	55	81	87	59	125	18
Gene_00045	54	66	39	31	57	2
Gene_00046	1	1	3	0	0	0
Gene_00047	18	36	106	49	49	24
Gene_00048	30	3	65	39	40	93
Gene_00049	20	12	16	9	57	4
Gene_00050	0	0	0	0	0	1
Gene_00051	282	362	2235	1335	1013	239
