id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
cytochrome b	163863.615441368	327727.230882735	0	0	-Inf	1.25160975130616e-14	1.89366768717762e-10
ANKRD30BL	479311.072784179	958622.145568357	0	0	-Inf	1.43939471509396e-14	1.89366768717762e-10
MTRNR2L8	599523.004383438	1199046.00876688	0	0	-Inf	3.27229850061122e-14	2.425940429908e-10
STRF6	537609.908236616	1075219.81647323	0	0	-Inf	3.68796051977501e-14	2.425940429908e-10
AD 1	68488.9629667232	136977.925933446	0	0	-Inf	2.01957751487532e-13	1.06278247142799e-09
OK/SW-cl.16	507705.911931735	1015411.3312342	0.492629272187248	4.85152427429063e-07	-20.9750585731039	2.60211971616422e-13	1.14111623286188e-09
MTND5	325467.675348379	650933.872808941	1.47788781656174	2.27041160138785e-06	-18.7486147028866	5.71940254593104e-13	2.14984171126482e-09
TCRBV19S1P	59717.7572105612	119435.514421122	0	0	-Inf	9.60826928343549e-13	2.8823250728479e-09
OR6C1	672733.355205497	1345465.47883781	1.23157318046812	9.15351006650819e-07	-20.0591715891765	9.85897144102734e-13	2.8823250728479e-09
BC018860	301294.115240057	602584.289445937	3.94103417749798	6.540220590752e-06	-17.2222292730783	6.11448552237863e-12	1.60884343064826e-08
DTWD2	46202.2054226302	92404.4108452603	0	0	-Inf	7.16928913054641e-12	1.7148939600267e-08
JA040723	1545555.75136528	3091111.50273056	0	0	-Inf	8.24350763790404e-12	1.80752644140442e-08
AF079515	44643.4285241012	89286.8570482023	0	0	-Inf	9.94828792283021e-12	2.01353347558084e-08
DQ582201	38300.7960844018	76601.5921688036	0	0	-Inf	1.2326261119154e-11	2.31663273262271e-08
OR10P1	672683.60832045	1345360.07351645	7.14312444671509	5.30945178716702e-06	-17.5230056621112	2.98630472862295e-11	5.23837666796847e-08
MTRNR2L6	55959.630911731	111918.276564918	0.985258544374495	8.80337487865979e-06	-16.7935118651984	3.31777497601042e-11	5.45608094804913e-08
VENTXP1	52341.9489265278	104683.405223783	0.492629272187248	4.70589651849924e-06	-17.6970989729204	4.23310520383871e-11	6.55185083078849e-08
BCYRN1	39768.7833575971	79537.5667151941	0	0	-Inf	4.80773859323707e-11	6.7195854591353e-08
AHNAK	78785.0724468813	157568.42069131	1.72420245265537	1.09425635231391e-05	-16.4796897153854	4.85223942397274e-11	6.7195854591353e-08
OR6C4	672684.83989363	1345360.07351645	9.60627080765133	7.14029723101772e-06	-17.0955844383765	5.59489541644936e-11	7.36064440988077e-08
JA040725	2212296.26232866	4424592.52465732	0	0	-Inf	7.67153125113385e-11	9.61206334665876e-08
HSP90AB1	69529.9536984368	139056.951621241	2.95577563312348	2.12558638648598e-05	-15.5217795813396	1.07904834185916e-10	1.29054181686355e-07
TM9SF3	25612.4303413155	51224.860682631	0	0	-Inf	1.7314438631921e-10	1.98077177949177e-07
ARPC2	28774.546545965	57549.0930919301	0	0	-Inf	1.96435192659247e-10	2.15358449552088e-07
OR6C2	672690.003954451	1345362.02694047	17.9809684348345	1.33651523342945e-05	-16.1911641931088	2.1596844492749e-10	2.27302468917285e-07
PID1	28855.277916423	57710.555832846	0	0	-Inf	2.50698301605758e-10	2.53706681225027e-07
MTRNR2L2	722918.729319265	1445816.27557983	21.1830587040516	1.46512797385383e-05	-16.0586137898707	2.83552191718062e-10	2.76326861795765e-07
EEF1A1	78235.8456310852	156464.301823088	7.38943908280871	4.7227635931702e-05	-14.3700091539594	3.18899465197661e-10	2.99674383152887e-07
RMND5A	50083.760588598	100164.072772291	3.44840490531073	3.44275627963952e-05	-14.826076421499	4.64527571149196e-10	4.21470670761298e-07
MTRNR2L1	151212.413099213	302402.657881178	22.1683172484261	7.3307283089875e-05	-13.7356839369825	4.80798202141999e-10	4.21692076492009e-07
CANX	69066.5114564675	138127.111361669	5.91155126624697	4.27979070000842e-05	-14.5121002300168	4.99570010038685e-10	4.24022132391545e-07
DYNC1H1	32629.0772527278	65255.9376737308	2.21683172484261	3.39713412122957e-05	-14.8453222964867	8.8323087616035e-10	7.26236587922848e-07
LPP	70998.6324128318	141991.599589033	5.66523663015335	3.98983929088077e-05	-14.6133098379939	1.01466692636291e-09	8.09027762620029e-07
CENPE	17509.6645574905	35019.3291149809	0	0	-Inf	1.42456764586601e-09	1.10244776170666e-06
LOC286189	31436.5361977514	62872.3334515945	0.738943908280871	1.175308546246e-05	-16.3766009264089	1.78019704996178e-09	1.33830127938841e-06
EIF2S3	15899.0401140041	31798.0802280082	0	0	-Inf	2.22254901269451e-09	1.62443637838939e-06
KIF5C	20580.3544866131	41159.7237146818	0.985258544374495	2.39374430986049e-05	-15.3503714168074	2.75686112009787e-09	1.93203531336689e-06
SPTBN1	27195.9612093753	54390.1982162979	1.72420245265537	3.17006098377982e-05	-14.9451298800815	2.79026079005555e-09	1.93203531336689e-06
HSP90AA1	67093.552941588	134171.588061102	15.5178220738983	0.000115656543223081	-13.0778654913665	3.55575634321229e-09	2.39895027955389e-06
BC046497	17768.3890828773	35536.7781657546	0	0	-Inf	3.86560976669175e-09	2.54279810452983e-06
TRIM44	22434.7183095024	44869.4366190048	0	0	-Inf	4.31665498636025e-09	2.70938965700708e-06
RRP7B	24815.8019380621	49630.3723029437	1.23157318046812	2.48149091639007e-05	-15.2984333008427	4.39634594196327e-09	2.70938965700708e-06
XRCC5	14202.6998383434	28405.3996766869	0	0	-Inf	4.42778029991275e-09	2.70938965700708e-06
AATF	14385.1573054881	28770.3146109761	0	0	-Inf	5.1243366805792e-09	3.06435333498636e-06
BAIAP2L1	13500.6891839959	27001.3783679918	0	0	-Inf	6.65394910877162e-09	3.89063797666664e-06
PSMD14	12928.7309960873	25857.4619921746	0	0	-Inf	7.77982072126644e-09	4.4500574525644e-06
HUWE1	38658.6047583538	77310.5590215331	6.65049517452784	8.60231158421128e-05	-13.5049160863703	9.27864688997587e-09	5.17173664609203e-06
RTN4	33014.0265763776	66024.3584332139	3.69471954140436	5.59599461332397e-05	-14.1252459006644	9.43460622576837e-09	5.17173664609203e-06
NCL	76974.2661214762	153917.003969533	31.5282734199838	0.000204839443380959	-12.253218835642	1.02270983239286e-08	5.49174308365732e-06
PRIM2	37422.19937007	74841.4429645068	2.95577563312348	3.94938354478981e-05	-14.6280129923573	1.06214628580027e-08	5.58943861439537e-06
CD2AP	27246.1837458165	54490.6432891804	1.72420245265537	3.16421746666684e-05	-14.9477917193478	1.17602696549738e-08	6.06737676787587e-06
HNRNPA2B1	65969.9893395921	131917.317732663	22.6609465206134	0.000171781437874115	-12.5071382274372	1.20248277244763e-08	6.08456282858499e-06
LOC541471	36795.946418659	73584.7497128713	7.14312444671509	9.70734353869199e-05	-13.3305639252283	1.27049948127114e-08	6.21353780957885e-06
FRMD5	23531.039162486	47062.0783249719	0	0	-Inf	1.27520158755419e-08	6.21353780957885e-06
KIF11	10422.4841558793	20844.9683117585	0	0	-Inf	1.39305017476559e-08	6.55624290035695e-06
PARD3B	343783.589212385	687397.713955138	169.464469632413	0.000246530452737981	-11.9859465126604	1.39536942239278e-08	6.55624290035695e-06
MIR3134	15534.8451780282	31069.6903560564	0	0	-Inf	1.5248171470642e-08	7.02592473620389e-06
MIR548AC	15988.9024584799	31977.5586023237	0.246314636093624	7.70273425675857e-06	-16.9861979159252	1.54873682996285e-08	7.02592473620389e-06
SMCHD1	16134.1602986287	32268.0742826214	0.246314636093624	7.63338505844093e-06	-16.9992456008571	1.71188177469326e-08	7.63441241622525e-06
CD59	14264.3985419348	28528.7970838695	0	0	-Inf	1.81798422064427e-08	7.84328538410769e-06
TVAS5	4176084.37187846	8352166.77323983	1.97051708874899	2.35928848435173e-07	-22.0151448278736	1.81833539233266e-08	7.84328538410769e-06
AFF4	19874.8009320831	39749.6018641661	0	0	-Inf	1.98659927764039e-08	8.43087099891515e-06
STK39	18329.3298584726	36658.6597169451	0	0	-Inf	2.06684634253087e-08	8.60837075080727e-06
RPL41	30304.7653438886	60604.8507096914	4.67997808577885	7.72211800041687e-05	-13.6606438744026	2.09385728204494e-08	8.60837075080727e-06
SBF2	13056.1735027716	26111.6080616349	0.738943908280871	2.82994408669369e-05	-15.1088669254951	2.15689437693198e-08	8.61799069377776e-06
USP9X	32864.362540609	65725.7693055849	2.95577563312348	4.49713356625911e-05	-14.4406347413042	2.16170335128205e-08	8.61799069377776e-06
PPM1L	167294.936619269	334481.248484021	108.624754517288	0.000324755886943173	-11.5883567014922	2.24933164982964e-08	8.83349468213693e-06
HNRNPD	27855.0427515391	55705.8981542647	4.1873488135916	7.51688591753014e-05	-13.6995053659668	2.33168193425396e-08	9.02223750795445e-06
RPS3A	10924.2991490243	21848.5982980487	0	0	-Inf	2.67855878242618e-08	1.02142374903185e-05
CRIM1	29784.9783464816	59567.4935466023	2.46314636093624	4.13505120709705e-05	-14.5617352790747	2.79376734104341e-08	1.0501372325362e-05
PLCB4	158584.161882452	317044.920132221	123.403632682905	0.000389230752006502	-11.3270866817258	2.97543162774293e-08	1.1026698167489e-05
SEC11A	12875.8255087979	25751.6510175957	0	0	-Inf	3.13531570359162e-08	1.13690947342599e-05
HNRNPA3	15100.8608764489	30200.7364943534	0.985258544374495	3.26236595110423e-05	-14.9037218511145	3.2225972859277e-08	1.13690947342599e-05
UBE2E2	36331.5685542261	72653.5308376445	9.60627080765133	0.000132220288496619	-12.8847688118742	3.22323972808052e-08	1.13690947342599e-05
CTNNA1	13246.1653988388	26491.8381684055	0.492629272187248	1.85955111553854e-05	-15.7146860689874	3.24894279364149e-08	1.13690947342599e-05
CSNK1G3	17072.6225740876	34145.2451481751	0	0	-Inf	3.28386743616507e-08	1.13690947342599e-05
SSR1	17041.2349940336	34081.4847295229	0.985258544374495	2.89089091098493e-05	-15.0781263053142	3.95065107399294e-08	1.34999390985587e-05
