id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
TIMP3	16632.7980080888	33192.9685384545	72.6274777231626	0.00218803803700241	-8.83614646640467	0.000848158848285734	1
IFNAR2	11290.5582707866	22511.157781133	69.9587604402375	0.00310773711065502	-8.32991981605012	0.0034944910752859	1
HLA-DPB1	10428.7329175872	20809.5457064441	47.920128730251	0.0023027955250081	-8.76239797086235	0.00527963122589735	1
IL10RB	10388.8830688137	20654.9389055212	122.827232106296	0.00594662771301946	-7.39371252564423	0.00553114515311124	1
NR3C2	13888.0221019517	27495.2387139513	280.805489952053	0.0102128769592959	-6.61346686026349	0.00654227432533305	1
DOCK11	13595.9824423144	26717.0276085835	474.937276045281	0.0177765761597183	-5.81387870773606	0.00989747295159	1
TESK1	11533.7492626432	222.09160881772	22845.4069164686	102.864790966591	6.68460544421041	0.0100428813533348	1
LYZ	6416.04126830458	12807.3751876162	24.7073489929116	0.00192915008977029	-9.01781889381846	0.0118540727470846	1
P2RY10	5029.41729945338	10036.8325832817	22.0020156250718	0.00219212739103773	-8.83345264463094	0.0148856070943114	1
AFF3	27661.6500435333	54645.2521744894	678.047912577175	0.0124081761103797	-6.33256512183995	0.0151741861427535	1
CABC1	7597.03625183443	56.0126794419648	15138.0598242269	270.261304673196	8.07821115502367	0.0157082166211031	1
SYN3	18910.1104589708	37017.0867670169	803.134150924678	0.0216963089499601	-5.52640656242853	0.0160050896124843	1
RGS1	3583.60666779417	4.32367942874862	7162.8896561596	1656.66529496446	10.694066441192	0.0162916603756567	1
PCGF2	13346.7820429345	441.271089615974	26252.292996253	59.4924381270924	5.89463439910884	0.0164412206016826	1
SLC7A11	72806.2578612135	9823.18168708898	135789.334035338	13.8233556459423	3.78903597010053	0.0169039819140635	1
PPM1K	4403.80003487375	8770.95903652048	36.6410332270262	0.00417754011556324	-7.90313060257639	0.0179287906978791	1
PRKCB	14014.9822697443	27476.5244838155	553.440055673214	0.0201422875007066	-5.6336286544676	0.0194713889612687	1
ITGB7	5363.92545127366	10689.7954053718	38.0554971755437	0.00355998367905341	-8.13391365757229	0.0215476575792497	1
LPAR1	4193.56259170024	8303.73816947056	83.3870139299244	0.0100421054021795	-6.63779441701504	0.0235676459038968	1
EBLN2	2010.35750126387	4018.15157173155	2.56343079618743	0.000637962692652425	-10.6142403202914	0.0237673758675746	1
DVL2	8669.3740624173	26.1239671359274	17312.6241576987	662.710378849361	9.37223470372242	0.0250075297551744	1
PNPLA7	11807.5906752593	23018.2637569993	596.917593519239	0.0259323465844694	-5.26910343007014	0.0251147066169726	1
WDFY4	10576.8050403889	20652.5761729707	501.033907807028	0.0242601166852376	-5.36526970028874	0.0251581388786414	1
MYBPC2	5656.99594388376	11267.5297122079	46.4621755595934	0.00412354586553727	-7.92189883013598	0.0272027331864819	1
TP53INP1	6062.17067914673	12069.5892257418	54.7521325516734	0.00453637083480017	-7.78424570353997	0.0277384602217581	1
PPIE	2731.45396469314	5452.06141473524	10.8465146510421	0.00198943368864616	-8.9734264724139	0.0288188354108616	1
MLLT11	1539.84771522567	4.01105587860041	3075.68437457274	766.801677080088	9.58270968211788	0.0301181845279698	1
BTLA	4557.76035016797	9094.1549653993	21.3657349366393	0.00234939200155813	-8.73349683418103	0.0303018084108922	1
MGRN1	6443.63054972617	12791.2171421556	96.0439572967518	0.00750858626113249	-7.05724298625032	0.0317121191695612	1
LOC641364	25755.9314069112	3178.99569612663	48332.8671176957	15.2038164683852	3.92636160993096	0.0318518060161948	1
NICN1	3383.42326015402	10.5420476625822	6756.30447264545	640.891095249565	9.32393541449427	0.0326054263771788	1
C5orf56	4617.65953730417	9158.59698074851	76.7220938598371	0.00837705753633531	-6.89934070221684	0.0331936258938067	1
BPHL	4686.00765842345	33.3522037977277	9338.66311304916	280.001380708924	8.1292901310057	0.0342141834520511	1
SPAG8	5806.49995885804	11.7338066539846	11601.2661110621	988.704386664025	9.94939542294898	0.0355980822444142	1
COX15	6666.71511362852	118.910661465712	13214.5195657913	111.1298129445	6.79610209216654	0.0359778653275957	1
CD74	19148.8922698448	35897.1940365141	2400.59050317541	0.0668740431559515	-3.90240984552744	0.0363803700460502	1
C9orf25	11467.782069444	22409.5000885201	526.064050367808	0.0234750462210132	-5.41272819130948	0.0399643965842076	1
RNF41	5072.6028757892	117.338066539846	10027.8676850386	85.4613339110481	6.41719993018202	0.0405458266039892	1
C16orf70	6431.74514847995	12751.5461955896	111.944101370339	0.00877886490416809	-6.8317498714382	0.0409273901463756	1
