id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
OR6C3	224927.424064636	0	494840.332942198	Inf	Inf	1.45301596008849e-19	2.4576723787205e-16
OR10A7	224927.424064636	0	494840.332942198	Inf	Inf	1.45302273520482e-19	2.4576723787205e-16
OR6C74	224927.424064636	0	494840.332942198	Inf	Inf	1.45302273520482e-19	2.4576723787205e-16
OR6C6	224927.424064636	0	494840.332942198	Inf	Inf	1.45302273520482e-19	2.4576723787205e-16
OR6C1	224927.424064636	0	494840.332942198	Inf	Inf	1.45302273520482e-19	2.4576723787205e-16
OR6C75	224927.424064636	0	494840.332942198	Inf	Inf	1.45302591625381e-19	2.4576723787205e-16
OR6C65	224927.424064636	0	494840.332942198	Inf	Inf	1.45302591625381e-19	2.4576723787205e-16
OR6C76	224912.868637464	0	494808.31100242	Inf	Inf	1.45485960764328e-19	2.4576723787205e-16
OR6C2	224912.689022569	0	494807.915849653	Inf	Inf	1.45486147643779e-19	2.4576723787205e-16
OR6C70	224912.689022569	0	494807.915849653	Inf	Inf	1.45486879440037e-19	2.4576723787205e-16
OR6C68	224912.689022569	0	494807.915849653	Inf	Inf	1.45486879440037e-19	2.4576723787205e-16
OR6C4	224906.582116162	0	494794.480655556	Inf	Inf	1.45510501996477e-19	2.4576723787205e-16
OR10P1	224906.582116162	0	494794.480655556	Inf	Inf	1.45510501996477e-19	2.4576723787205e-16
VENTXP1	9010.22845474498	0.540056582865144	19821.8545325395	36703.2921390927	15.1636218524198	4.06034682539422e-07	0.000636807394608435
BC037494	4260.04724995259	0.5177826059557	9371.48261076855	18099.2611628409	14.1436431852302	9.38286756099839e-05	0.10946887466355
DQ587539	1458.40863199352	0	3208.49899038575	Inf	Inf	9.97120505201533e-05	0.10946887466355
DQ582260	1458.40863199352	0	3208.49899038575	Inf	Inf	9.97120505201533e-05	0.10946887466355
DQ596206	1458.40863199352	0	3208.49899038575	Inf	Inf	9.97120505201533e-05	0.10946887466355
DQ584320	1458.40863199352	0	3208.49899038575	Inf	Inf	9.97120505201533e-05	0.10946887466355
DQ593554	1458.40863199352	0	3208.49899038575	Inf	Inf	9.97120505201533e-05	0.10946887466355
MIR133A1	1394.4521520558	0	3067.79473452277	Inf	Inf	0.000120748600043835	0.126251286245833
MIR16-2	1149.71420254702	0	2529.37124560345	Inf	Inf	0.000188799484794828	0.167582704289794
DM119508	1149.71420254702	0	2529.37124560345	Inf	Inf	0.000188799484794828	0.167582704289794
MIR15B	1149.71420254702	0	2529.37124560345	Inf	Inf	0.000188815764506496	0.167582704289794
BC064148	1458.79544867142	0.135014145716286	3209.18797010226	23769.2721238702	14.5368101044806	0.000198281794120649	0.167582704289794
DQ593719	1458.482276073	0.135014145716286	3208.49899038575	23764.1691051246	14.5365003394109	0.0001984401471756	0.167582704289794
DQ581988	1458.45547722183	0.0858829185733476	3208.49899038575	37358.9887684774	15.1891677843174	0.000296680263075761	0.241266982827944
TRNA_Sup	602.541045602339	0	1325.59030032514	Inf	Inf	0.000554414576998689	0.434760030970008
AX747193	449.20845672804	823.548837334739	0	0	-Inf	0.000596821082752936	0.451875879793318
