Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	4.7454271729144	439	0.388705224151711
WASH7P	1.86407045199217	6500.5	0.333502870013805
FAM138A	12.3185428097027	2553.5	0.74353338661629
OR4F5	12.4707859557643	2837.75	0.757447504177868
LOC729737	4.01820017881323	1459.5	0.408250381457531
DQ597235	5.16262020081908	191.5	0.37373755721863
DQ599768	5.94341647163363	196.75	0.39493569715905
LOC100132287	4.70165427837072	3428	0.474387851485868
BC036251	4.60880924267552	585	0.394281769962944
M37726	-2.23980234654222	4414	0.367725059943326
LOC100133331	0.258736452027134	968.5	0.131929811814285
DQ575786	-0.545434136534519	8.5	0.125372375208893
DQ599872	1.60058003023519	9151	0.326927268764078
AK310751	-2.62609866595295	3950	0.387488192981181
LOC100288069	3.04141382954874	2018	0.381657342149241
LOC643837	2.60099824910494	2984.5	0.375299716631548
FAM41C	2.33419772269709	568	0.305783622756666
AK056486	4.6769807453171	381	0.381493860350214
SAMD11	4.48443562476719	556	0.388596236285694
NOC2L	2.71176627651617	2140	0.365672455133328
KLHL17	2.22195846283088	870.5	0.313249291578871
PLEKHN1	9.01029498072788	3088	0.61770689529899
C1orf170	11.0182001788132	2591.25	0.685079561142193
HES4	8.98299357469431	631.25	0.526375063576255
ISG15	12.9588245544622	15921	0.877661120395263
AGRN	4.14943004050262	5903	0.474751144372593
BC033949	8.42430628154451	2569	0.584665407251326
C1orf159	5.17545932224817	2793.5	0.481054275957277
LOC254099	7.02680005934372	161.75	0.419657778100705
MIR200B	8.29691620687929	156.75	0.452154326818281
AK128833	4.61697289562378	153	0.353483978783695
TTLL10	3.72337652941825	146.5	0.32307636416479
TNFRSF18	5.61797755794912	108.25	0.369341713289254
TNFRSF4	12.8888383601513	3791.75	0.797482380294994
SDF4	8.83081767235633	12494.5	0.688766983942454
B3GALT6	1.85833129136357	1491.5	0.288381893482526
FAM132A	4.39944456458946	1256.5	0.414408195887525
UBE2J2	2.83013625299102	3373.5	0.387088570805784
SCNN1D	10.2602661687494	5514.5	0.703879968030226
ACAP3	10.1911473638025	8176.5	0.723370631403037
PUSL1	6.70554144878526	982	0.477693816755068
CPSF3L	4.20514535816377	4902	0.471263532660031
GLTPD1	10.6303682567811	3564.25	0.692018455278646
DVL1	1.40442783945471	1405	0.263841458984233
MXRA8	8.25788404047601	5797	0.629822713071278
AURKAIP1	4.81330130353818	5979	0.506557436605391
CCNL2	1.43031315410603	3254.5	0.287818789508101
LOC148413	4.55029936871323	6751.5	0.499727530334956
MRPL20	4.42554854850419	6720.5	0.493805856281334
ANKRD65	12.9304909546674	17562.75	0.879077962653491
VWA1	15.3222098437489	20483.5	0.970718593329943
ATAD3C	10.4621849216478	20440.5	0.76998110876989
ATAD3B	6.30936211780643	16366	0.604228729201482
ATAD3A	7.1776845882446	6757.5	0.602357770834847
AX747755	9.40243072142185	3716.5	0.643591513478166
SSU72	1.63883329326821	6788.5	0.322731235922401
AK094692	10.9382073653645	7354.25	0.749400566736903
MIB2	12.4171932382483	10937	0.837935043231854
MMP23B	11.2545365686405	3663.25	0.719592385381094
CDK11B	0.556398475363324	2648.5	0.181192327254232
CDC2L1	2.86349800009514	169.5	0.295811233016058
SLC35E2B	0.452934107037372	1940	0.164589842330887
MMP23A	2.25238716163429	80	0.261643537019545
CDK11A	-0.331855327362679	434.5	0.138105790888614
AK097814	4.66127258782586	21411.5	0.541560706241372
SLC35E2	4.61960332198215	21673	0.540834120467921
NADK	0.217375688842093	130.5	0.117434425633946
GNB1	0.0587808026083295	574	0.101812831504759
CALML6	5.58496250072116	58.75	0.351376880040689
TMEM52	6.71424551766612	52	0.37597180847199
C1orf222	9.61777354252901	588.5	0.544212744314466
KIAA1751	6.37810356355906	698.5	0.453117052968103
AK054708	6.53190125696974	686.5	0.457658214052169
GABRD	9.85694420382108	694.75	0.562304730073385
PRKCZ	4.81059184295979	2151.5	0.456059725350578
AX747530	13.0045716151677	4108.5	0.808562813340115
C1orf86	8.74101747867329	6403	0.651892755939839
BC018779	11.1887948714186	10500	0.779008937005013
SKI	2.61291019607385	12775.5	0.425724769309017
MORN1	9.55826386960817	22964	0.733088716122938
LOC100129534	10.0734721539765	538.25	0.558199520453389
RER1	-0.703562663554837	2153	0.198466904018019
PEX10	4.70597790168252	502	0.392537964106663
PLCH2	11.2474330842119	14581	0.794812177577563
PANK4	1.00720628391864	1008.5	0.233869795829398
HES5	8.81057163474115	224	0.479328634745332
LOC115110	10.8645730817736	931.75	0.617034803458548
TNFRSF14	10.7197310567499	2106.75	0.659576400494078
FAM213B	15.3935245306787	21521.5	0.972698539562595
MMEL1	7.4869123550594	2319	0.549716631548354
ACTRT2	4.61470984411521	11.75	0.272233524667587
FLJ42875	14.0281996186962	20883	0.934952408631839
PRDM16	5.17018352577611	8139	0.535203080723679
ARHGEF16	7.76535018726606	21007.5	0.665225604882656
MEGF6	3.33980645442813	1866	0.39099396933808
TPRG1L	2.07163478750805	1943	0.332340332776284
WRAP73	9.80048689499142	20932.5	0.741553440383637
TP73	11.3660611874601	265171.5	0.82049698466904
TP73-AS1	7.91070170470656	271027	0.68022960110441
CCDC27	15.0178115631059	265392.5	0.977239700646661
LOC388588	17.6953710420659	265305	0.998219864855046
LRRC47	-0.633469492516465	2327	0.191273704860859
CEP104	3.17259577649563	13460	0.457948848361549
DFFB	6.55009334155496	14740.5	0.611476422291652
C1orf174	6.01081468355803	15489.5	0.591331831722735
LOC100133612	8.71453576915908	14877.5	0.689965850468648
LOC728716	6.06608919045777	561	0.435279372229892
LOC284661	0.0875498790495809	30.5	0.100995422509627
AJAP1	6.05288058524628	3694.5	0.527682917968466
BC037321	11.511900868247	14596.5	0.805601976313304
AK125078	7.35877328213188	14682.5	0.641302768291797
NPHP4	7.58317534471457	317810	0.668440746930175
KCNAB2	7.635070271274	13845	0.650112620794885
CHD5	7.35687914201125	13848.5	0.639504468502507
RPL22	2.26827724716509	29469	0.409612729782751
RNF207	8.16171831348918	33102.5	0.684861585410158
ICMT	2.73984971835065	30371	0.442309089588026
C1orf211	13.5946745036899	9277.5	0.886797936496403
GPR153	8.2185228748748	2226.5	0.570533313957713
ACOT7	2.45636069652555	6236.5	0.38861440093003
HES2	-1.0703893278914	5.5	0.152147060960546
ESPN	3.22437278546469	108.5	0.300261570878442
TNFRSF25	5.8232155769669	584	0.429775484996004
PLEKHG5	5.80839788251073	8834	0.562777010826128
NOL9	0.753454508756626	2840	0.208003342294558
TAS1R1	7.63514934640652	5835	0.609260335682627
ZBTB48	9.16204795257038	6290.5	0.666551623919204
KLHL21	6.44108006440852	4015.25	0.545684080505704
PHF13	2.32192809488736	82	0.264404562958657
THAP3	2.99913550679074	2189.5	0.384291215577999
DNAJC11	2.64087335954423	6085.5	0.40378187895081
CAMTA1	-0.556924348815173	1868.5	0.177232434788927
VAMP3	-1.30425827633729	9271.5	0.299716631548354
PER3	1.26981559359905	998.5	0.24805638305602
UTS2	0.583593719744771	350.5	0.165825038145753
TNFRSF9	9.14506453696147	19498	0.714088498147206
PARK7	-1.7067673381131	12838.5	0.339551696577781
AX747125	0.825990840196344	2118.5	0.212508174089951
ERRFI1	2.97093305437628	24413.5	0.449520453389523
SLC45A1	6.61470984411521	1115.5	0.481562885998692
RERE	-0.878150537972287	7499	0.235740754196033
BC113958	8.16758540512598	1074.5	0.526138923199884
ENO1	0.540287163394712	3496	0.181428467630604
CA6	6.7025723054339	2011.5	0.515276465886798
SLC2A5	6.42539303561764	3270.5	0.533586427377752
GPR157	5.91647664443772	742.5	0.442363583521035
H6PD	1.27991459322382	313.5	0.227457676378697
SPSB1	0.30084233565419	326	0.13034948775703
SLC25A33	0.783786955538788	693.5	0.189875027246967
TMEM201	5.4606606646076	3443	0.50272469665044
PIK3CD	2.25817243479501	10661	0.395244496112766
C1orf200	9.63843591399047	398	0.52888178449466
CLSTN1	0.245577208757248	1593	0.131693671437913
CTNNBIP1	6.67652426092824	14484.5	0.615309162246603
LZIC	1.81954678369209	511	0.260662646225387
NMNAT1	3.31245081658384	750.5	0.351304221463344
RBP7	5.15452030844399	588.5	0.410121339824166
UBE4B	-1.20448302047753	6986.5	0.28651093511589
KIF1B	-0.283003312128573	2192.5	0.138396425197995
PGD	0.0993850974162545	205	0.105118796773959
APITD1	0.0715059649756947	25	0.0986885126789217
APITD1-CORT	3.71837813304104	6057	0.455968902128896
CORT	1.26303440583379	3.5	0.141793213688876
DFFA	0.329397523996813	252	0.13452735595437
PEX14	-1.36891110629915	4451.5	0.292505267746858
CASZ1	2.24078411331473	1846.5	0.336318389885926
C1orf127	3.9870609442925	364	0.356535639032188
TARDBP	-3.00586549438781	44235	0.46586863329216
MASP2	1.85650840641047	3322.5	0.313212962290198
SRM	0.59562400298431	3422.5	0.192454406742716
EXOSC10	-1.29994911933578	6102.5	0.292323621303495
MTOR	-0.805722884141389	4395	0.222135435588171
ANGPTL7	7.54109661534952	370.5	0.462326527646589
UBIAD1	0.53868864814448	478	0.161356535639032
PTCHD2	4.53018827817699	939.5	0.407759936060452
FBXO2	4.73696559416621	115.5	0.349178958076001
FBXO44	10.5168818908212	5490.75	0.714851413209329
FBXO6	10.5441364872624	5222.5	0.712907796265349
MAD2L2	3.82481002373326	5564.5	0.461527283295793
C1orf187	5.97240216342659	5375.5	0.544957494732253
AK125437	12.0907740546408	5451.25	0.783550098089079
AGTRAP	7.44683267132175	5724.5	0.601104410375645
C1orf167	6.50738807543882	1754.5	0.501162537237521
MTHFR	3.01071415123145	769.5	0.347689457240427
CLCN6	-1.49303257867308	2317.5	0.282859841604301
NPPA	4.69187770463767	242.25	0.367815883165008
NPPB	4.08746284125034	8	0.248183535566374
KIAA2013	-0.257838701828901	689.5	0.130512969556056
PLOD1	4.56227860057837	2387	0.449102666569789
MFN2	1.37109146360908	4389.5	0.292141974860132
MIIP	-0.772370930297405	171	0.171692218266366
TNFRSF8	0.568568062470488	28.5	0.138596236285694
TNFRSF1B	5.00688831969892	1729	0.451827363220228
VPS13D	-0.0373073102753656	110	0.0980527501271525
SNORA59B	6.91064273046963	477.25	0.454315919494296
DHRS3	4.62497817956904	473.5	0.387361040470828
AADACL4	2.63113268215408	106.5	0.283513768800407
AADACL3	4.52356195605701	33	0.306746348906488
C1orf158	3.88752527074159	34.5	0.291270071931992
PRAMEF12	7.44402457123906	2986.5	0.56252270580542
PRAMEF1	7.2718221305922	2994	0.557654581123302
PRAMEF11	7.4284199970928	2997	0.562195742207368
PRAMEF2	3.13613668798603	140.25	0.304566591586137
PRAMEF4	7.75042785397277	160.75	0.438549008210419
PRAMEF10	8.9347965921784	976.75	0.546011044103756
PRAMEF8	8.56453060081634	472	0.500090823221681
PRAMEF6	6.54432051622381	277	0.423744823076364
PRAMEF5	3.71535913797683	224.5	0.334374772941946
PRAMEF22	11.7599713812289	4334	0.753832739954952
PRAMEF9	9.31854280970272	1275	0.57351231562886
PRAMEF16	7.3037807481771	471	0.46450628496694
LRRC38	8.7710767402628	5230.5	0.642338153018964
PDPN	8.71011763204345	5222.5	0.639958584610913
PRDM2	-0.00122443889453776	6	0.0940020344401657
AK124197	7.02236781302845	64.5	0.391448085446487
KAZN	1.78816031874255	6524.5	0.329651965414517
C1orf126	3.6813981521357	2082	0.407414807818063
TMEM51	1.43658558158121	2750.5	0.283931555620141
FHAD1	3.50190363075296	2938.5	0.41355445760372
AK055853	3.62449086490779	51	0.296846617743225
EFHD2	-1.83276165317189	10610	0.343620576909104
CTRC	9.40087943628218	337.5	0.514459056891666
CELA2A	4.98569216331612	583	0.404817263677977
CELA2B	5.57490883605723	420	0.40995785802514
CASP9	5.16069804876072	5302.5	0.513314684298481
DNAJC16	2.71805748004477	6096	0.406488410956913
AGMAT	2.12928301694497	27	0.236594492479837
DDI2	-2.94177352173749	5079.5	0.407051514931338
DQ573015	-1.87170309162358	820.5	0.273359732616435
SLC25A34	9.41855541138745	7175	0.68504323185352
TMEM82	9.48944659862258	7178	0.68747729419458
FBLIM1	0.380592791113082	281.5	0.139722444234542
FLJ37453	5.30654506218798	636.5	0.417042069316283
SPEN	-1.13813678199581	7709	0.282732689093948
ZBTB17	5.18892596337237	780.5	0.422927414081232
DQ576383	3.21770072601173	68.5	0.289181137833321
C1orf64	1.62449086490779	18.75	0.192181937077672
HSPB7	7.13271392234524	1358.5	0.508918840369106
CLCNKA	1.90930514854182	1097	0.28126135290271
CLCNKB	6.66720493550706	1912	0.511516384509191
FAM131C	0.0602424842514975	15.5	0.0971808471990118
EPHA2	0.377437772896173	726.5	0.146715832304003
ARHGEF19	8.70467219095932	1873	0.57472934679939
RSG1	12.1916761463524	2338.5	0.731363074910993
FBXO42	-0.69766725868645	2242.5	0.19919348979147
C1orf144	-0.776350423269811	4705.5	0.218575165298263
SPATA21	-0.733033618969211	2822	0.20473370631403
NECAP2	0.999756937908466	1483.5	0.240935842476204
CROCCP3	-4.17286867730726	1158.5	0.404199665770544
AX747988	9.283088353024	311	0.506829906270435
AB1	-0.841994882181634	806	0.196977403182446
NBPF1	-1.57986378323681	44830.5	0.339152074402383
CROCCP2	2.40389322698247	4846	0.3774794739519
FLJ00313	-1.24298431476749	326	0.226640267383565
MST1P2	13.6457709978549	6408	0.868233669984742
ESPNP	9.48890340190428	6099	0.67741408123229
MST1P9	6.40599235967584	104.75	0.388559906997021
BC070363	2.0539388071108	165.5	0.272051878224224
CROCC	3.31825218362534	6524.5	0.444343529753687
MFAP2	9.67525138605026	1020.75	0.573966431737267
ATP13A2	6.55813510460444	12493	0.605972535057764
SDHB	3.05176625574329	6599.5	0.430792705078835
PADI2	1.60248187560478	3139.5	0.299589479038
PADI1	5.26178152252371	560.5	0.412373755721863
PADI3	-2.38148704852289	1059	0.322840223788418
PADI4	0.9502469648029	27.5	0.158341204679212
PADI6	1.23815973719476	26.5	0.18805856281334
RCC2	0.222255714025028	1130	0.126771052822786
ARHGEF10L	4.6824262292931	10747	0.524540434498293
ACTL8	9.5617817200687	10944	0.711145825764732
IGSF21	4.23999623980737	2577	0.44000217975732
AX747631	8.97260876194084	11155.5	0.690201990845019
KLHDC7A	4.16118666436461	2719.5	0.438022233524668
PAX7	7.092148483168	11174	0.623192617888542
TAS1R2	3.95343318154555	442	0.361748891956695
ALDH4A1	5.49007089098767	1186.5	0.449120831214125
IFFO2	-1.37559675968095	1094	0.257084211291143
AX747516	-3.29655400886721	2683	0.39853229673763
UBR4	-0.362183996545477	7110	0.157142338153019
KIAA0090	0.289634288888028	1484.5	0.137706168713217
MRTO4	-0.49377285049304	613	0.158958802586645
AKR7A3	8.52042224852645	915.5	0.529226912737049
AKR7A2	5.94789356973389	2247	0.497475114437259
PQLC2	5.27365614968349	2204.5	0.472444234541888
CAPZB	-1.56735741991053	7096.5	0.315737847852939
