Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	-4.30932805810773	433	0.359856057576969
WASH7P	-2.30512446850635	7149	0.376631165715532
FAM138A	-8.99661471481536	2549	0.598960415833667
OR4F5	-12.4707859557643	2837.75	0.750917814692305
LOC729737	-5.17689792483228	1512.5	0.448602377230926
DQ597235	-7.03708931873522	195.5	0.408400276253135
DQ599768	-5.32192809488736	195	0.363890807313438
LOC100132287	-4.79406181213737	3436.5	0.476609356257497
BC036251	-8.66770293172909	608.5	0.505161571734942
M37726	1.50146197959373	2171	0.262785794773
LOC100133331	-1.60701890780025	3962.5	0.28997491912326
DQ575786	1.32970544547908	28	0.163025698811385
DQ599872	-1.68521161451123	9407.5	0.318581658245793
AK310751	0.993371261534096	756.5	0.178619461306387
LOC100288069	-2.49310979940643	1889	0.336065573770492
LOC643837	1.62438720322939	7444	0.307186216422522
FAM41C	-1.34450273108883	429.5	0.211660790229363
AK056486	-8.30924896081662	395.25	0.473337937552252
SAMD11	-4.9369478294647	563	0.394533095852568
NOC2L	-0.798030878139311	1073	0.169277743448075
KLHL17	-4.80996141787209	1068.5	0.419922939914943
PLEKHN1	-5.20294005867028	3010	0.484951473955872
C1orf170	-4.2134238008574	2452.75	0.434898767765621
HES4	-6.3507253591948	624.75	0.439624150339864
ISG15	-10.6734223356	15913.25	0.76594816618807
AGRN	-1.20576802465243	3543.5	0.24926393079132
BC033949	-6.08326936370944	2538.5	0.504834429864418
C1orf159	-0.225366576304581	415.5	0.108483879175602
LOC254099	-7.76376565350992	162.25	0.420613572752717
MIR200B	-6.97498811199193	156	0.396405074333903
AK128833	-4.31741261376487	151.5	0.326433063138381
TTLL10	-0.995456074855052	79	0.166060848387918
TNFRSF18	-7.78790255939143	110	0.405292428483152
TNFRSF4	-11.8888383601513	3791.25	0.743175457089891
SDF4	-3.39664438613534	11333	0.465740976336738
B3GALT6	-1.64942720997537	1403	0.262058812838501
FAM132A	-4.28841325220071	1251.5	0.404856239322453
UBE2J2	-2.45383781550705	3209	0.354730834938752
SCNN1D	-8.4301911701917	5503	0.627948820471811
ACAP3	-5.4671208253438	7998.5	0.548144378612191
PUSL1	-7.19858146006538	984.75	0.488495510886554
CPSF3L	-3.11798455711989	4586	0.414579622696376
GLTPD1	-3.77931331931921	3306.75	0.428410454000218
DVL1	-2.09643565141455	1730	0.316927774344808
MXRA8	-7.52853163041968	5784.5	0.602431754570899
AURKAIP1	-4.11613671742994	5842	0.472556431972666
CCNL2	-0.837108800042747	2278	0.186234597070263
LOC148413	-4.00092083655252	6612	0.476064119806623
MRPL20	-3.24879767066764	6307	0.432372505543237
ANKRD65	-14.5154534553886	17564.25	0.941459779724474
VWA1	-14.0002817488615	20482.75	0.927120061066482
ATAD3C	-8.16029457999702	20383.5	0.675820580858566
ATAD3B	-4.37828533589684	15778	0.525044527643488
ATAD3A	-2.4114728910406	5525.5	0.373268874268474
AX747755	-3.52647198536523	3399	0.418614372432845
SSU72	-0.673275472440123	3729	0.174839155246992
AK094692	-12.845097960973	7357	0.830504161971575
MIB2	-11.4171932382483	10935	0.782505179746283
MMP23B	-11.5175709744743	3663.5	0.723310675729708
CDK11B	-0.26986616350578	1412	0.119588528225074
CDC2L1	-0.394383828060501	47	0.108429355530515
SLC35E2B	-0.100824369519487	486	0.0967976445785322
MMP23A	-7.66177809777199	100.75	0.398531496492312
CDK11A	0.869072350471388	1388.5	0.180745883464796
AK097814	-3.74339764160601	20628	0.49661953400458
SLC35E2	-3.72163610053593	20879.5	0.496146995747156
NADK	-0.30444532568693	177.5	0.109247210206826
GNB1	0.134608791023215	1406	0.102013739958562
CALML6	-5.58496250072116	58.75	0.324888226527571
TMEM52	-5.39231742277876	51.25	0.315619206862709
C1orf222	-10.2027360432502	588.75	0.558649267565701
KIAA1751	-5.0061347861721	685	0.405583221256952
AK054708	-6.63143693052066	687	0.452328159645233
GABRD	-9.11997860965488	694.25	0.527170949801897
PRKCZ	-0.506466570592176	660.5	0.136690778234161
AX747530	-13.0045716151677	4108.5	0.801006869979281
C1orf86	-5.63109978659525	6288.5	0.540383846461415
BC018779	-12.358719872861	10502.5	0.825288066591545
SKI	-2.52084859238172	12611	0.405165206644615
MORN1	-7.01326777620466	22816.5	0.63874450219912
LOC100129534	-4.30528782919953	511.5	0.366798735051434
RER1	-1.15197969567113	1884	0.229908036785286
PEX10	-1.56847437793259	346	0.21862164225219
PLCH2	-10.6624705834908	14578	0.762404129257388
PANK4	-6.54456014666052	1985.5	0.506324742830141
HES5	-8.81057163474115	224	0.462923921340555
LOC115110	-10.8645730817736	931.75	0.610246810366762
TNFRSF14	-3.44174630945009	1914	0.389898586020137
FAM213B	-6.18407116504973	21226	0.607102613500055
MMEL1	-3.4696756501341	2121.5	0.395550870560867
ACTRT2	-4.61470984411521	11.75	0.241757842317618
FLJ42875	-15.3501277135836	20883.75	0.965740976336738
PRDM16	-4.31530844151636	7951	0.499763730871288
ARHGEF16	-7.7728059921851	21008	0.66431609174512
MEGF6	-2.82100663294763	1777.5	0.35442186761659
TPRG1L	-0.250919133628697	407	0.11001054123805
WRAP73	-6.77764691863331	20765	0.628621278761223
TP73	-8.13294235953056	264327	0.691596088837192
TP73-AS1	-3.91441366643956	254108.5	0.518774308458435
CCDC27	-15.3173718449648	265394	0.982770528152375
LOC388588	-17.6953710420659	265305	0.99816437061539
LRRC47	-0.223589182119209	606	0.109610701174076
CEP104	-4.16146843831271	14293	0.5086692595689
DFFB	-3.39588026293356	13484	0.470448184362619
C1orf174	-1.39248936255048	9740.5	0.289884046381447
LOC100133612	-7.7349998717188	14843	0.65262985714805
LOC728716	-4.48112668973662	544	0.378139653229617
LOC284661	-0.953413206398044	250.5	0.158209443495329
AJAP1	-4.97824178435353	3632	0.486823452437207
BC037321	-10.746366121884	14593	0.765421104285559
AK125078	-6.76847733710768	14637	0.617789247937189
NPHP4	-8.46836440682474	318574	0.702827959725201
KCNAB2	-7.2021108639979	13820.5	0.632038093853368
CHD5	-7.63698706120399	13863.5	0.647577332703282
RPL22	-0.740921547242937	14936.5	0.194122351059576
RNF207	-4.03563693893031	31193	0.520373668714332
ICMT	-2.78520958881721	30536.5	0.442150412562248
C1orf211	-12.8577089095237	9277	0.843244520373669
GPR153	-7.87748595703973	2224.5	0.555068881538294
ACOT7	-1.66488963706871	5221	0.301134091817818
HES2	1.20163386116965	6.5	0.132256188433717
ESPN	-2.83734966235544	104.5	0.261513576387627
TNFRSF25	-5.75610138110836	583.5	0.420104685398568
PLEKHG5	-6.42746823755215	8890	0.587346879430046
NOL9	-1.52872477224971	4561.5	0.285213187452292
TAS1R1	-9.05836077713106	5853.5	0.653611282759623
ZBTB48	-6.25515735696186	6219	0.562629493657083
KLHL21	-2.73886107158242	3453.5	0.378921158809204
PHF13	2.6703539919518	550	0.307767801970121
