Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	0.436099114806674	6	0.10751751635505
WASH7P	-0.441054016514178	648.5	0.170711880153292
FAM138A	3.32192809488736	4.5	0.225641621182209
OR4F5	NA	NA	NA
LOC729737	-1.15869774601906	53	0.244028955212325
DQ597235	-1.87446911791614	4	0.162447257383966
DQ599768	0.62148837674627	1.75	0.0863236944992839
LOC100132287	-0.0924075337666486	8.5	0.0738203073588046
BC036251	-4.05889368905357	23.5	0.353888437270158
M37726	-0.738340366948491	2243	0.266751829055859
LOC100133331	-1.34828245577312	2994	0.416986025626137
DQ575786	0.784271308944563	19.5	0.15832462354353
DQ599872	-0.0846315842760413	256.5	0.0817946038013394
AK310751	-1.63272740441885	3193.5	0.462141446986413
LOC100288069	0.548304030142308	129	0.161111756280726
LOC643837	4.22538545233434	10428.5	0.800816784732706
FAM41C	0.989694991608261	138.5	0.220996399953548
AK056486	-3.63226821549951	14.25	0.313242751519374
SAMD11	-0.452512204697507	7	0.110362714357605
NOC2L	1.91373539837686	1067	0.426876475825495
KLHL17	-2.58800295504121	198	0.430321681570085
PLEKHN1	3.8073549220576	78	0.42881198467077
C1orf170	6.80477637795583	138.5	0.498993535400457
HES4	2.63226821549951	6.5	0.234409476251306
ISG15	2.28540221886225	7.75	0.230751364533736
AGRN	2.94366201585019	2359.5	0.594665737622421
BC033949	2.34103691783507	30.5	0.319804126504858
C1orf159	4.95009274594359	2378	0.699821933186235
LOC254099	-0.736965594166206	0.5	0.0652460031742345
MIR200B	1.32192809488736	0.75	0.0820849301281307
AK128833	0.299560281858908	1.5	0.0762784035923044
TTLL10	2.7279204545632	67.5	0.37990167615066
TNFRSF18	-2.16992500144231	1.75	0.143382495258003
TNFRSF4	1	0.5	0.0820849301281307
SDF4	5.434173286221	1161.5	0.645569620253165
B3GALT6	0.208904081388205	88.5	0.100356133627531
FAM132A	0.111031312388744	5	0.0743622498354817
UBE2J2	0.376298437483977	164.5	0.136511438857276
SCNN1D	1.83007499855769	11.5	0.214067278287462
ACAP3	4.72402653845871	178	0.496787055316843
PUSL1	-0.493040011280117	2.75	0.0922269964773739
CPSF3L	1.08716080104388	316	0.287442418611853
GLTPD1	6.8510549374619	257.5	0.543200557426547
DVL1	-0.692007811959837	325	0.204602640034065
MXRA8	0.729352410056331	12.5	0.141621182208803
AURKAIP1	0.697164586108231	137	0.188499206441373
CCNL2	0.593204354063288	976.5	0.214260829171989
LOC148413	0.549378532160712	139.5	0.162214996322533
MRPL20	1.17675087783655	413.5	0.307107188479851
ANKRD65	-1.58496250072116	1.5	0.109220764138892
VWA1	1.32192809488736	0.75	0.0820849301281307
ATAD3C	2.30189034165082	57	0.348778693918631
ATAD3B	1.93107678190959	588	0.398792242480548
ATAD3A	4.766211697204	1232	0.633995277358418
AX747755	5.87595873605663	317.5	0.549549026439051
SSU72	0.965557820828083	3059.5	0.320907366546665
AK094692	-1.90689059560852	2.75	0.132021058336237
MIB2	1	2	0.128556497503194
MMP23B	-0.263034405833794	0.25	0.0652460031742345
CDK11B	0.286532311857545	1236.5	0.141930863624047
CDC2L1	2.46911417203464	122.5	0.390643750241939
SLC35E2B	0.352109737517885	1454	0.161189176634537
MMP23A	-5.4093909361377	20.75	0.360488522432548
CDK11A	0.537217023108709	954	0.196550923237719
AK097814	0.917874946219849	783.5	0.264700189679867
SLC35E2	0.897967221446217	793.5	0.261932412031123
NADK	-0.0870696368448363	47	0.0782526226144853
GNB1	0.193389593631544	1980	0.119846707699454
CALML6	0	0	0.0652460031742345
TMEM52	1.32192809488736	0.75	0.0820849301281307
C1orf222	-0.584962500721156	0.25	0.0652460031742345
KIAA1751	1.37196877738696	13.5	0.206267177641002
AK054708	-0.0995356735509144	0.5	0.0652460031742345
GABRD	0.736965594166206	0.5	0.0652460031742345
PRKCZ	4.30412527236761	1491	0.633317849262571
AX747530	NA	NA	NA
C1orf86	3.10991769207804	114.5	0.424669995741881
BC018779	-1.16992500144231	2.5	0.128556497503194
SKI	0.0920616036921275	164.5	0.0821236403050362
MORN1	2.54499609340351	147.5	0.401076142917973
LOC100129534	5.76818432477693	26.75	0.380695234777223
RER1	-1.85554235922597	4037	0.502283900437425
PEX10	3.13750352374994	156	0.441431502341966
PLCH2	0.584962500721156	3	0.107207834939806
PANK4	-5.53735386274187	977	0.633046878024233
HES5	NA	NA	NA
LOC115110	NA	NA	NA
TNFRSF14	7.27798474729977	192.75	0.525993883792049
FAM213B	9.20945336562895	295.5	0.565129872643518
MMEL1	4.0172367049253	197.5	0.486219177021639
ACTRT2	NA	NA	NA
FLJ42875	-1.32192809488736	0.75	0.0820849301281307
PRDM16	0.85487508425975	188	0.215906011690473
ARHGEF16	-0.00745580491904723	0.5	0.0652460031742345
MEGF6	0.518799821480499	88.5	0.15172453838114
TPRG1L	1.82071565387935	1536	0.440812139511478
WRAP73	3.02283997635811	167.5	0.443405721364147
