Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
PAQR7	8.31331792310444	11574	0.92256029110053
TINAGL1	7.43742163229464	14648.5	0.925037742422483
CD53	8.80055517308899	27138.5	0.969535090775365
S100A12	9.5448034805895	8951	0.911798861920799
FCRL5	9.21649326342255	14253.5	0.945205744590253
CR1	7.84877517787217	21231	0.950721944799288
TGFB2	5.96946461565728	58515	0.925540974722254
CELF2	6.32489427065498	16347.5	0.905895559942709
WDFY4	5.86667131695682	20130	0.902198738048233
DKK1	10.5563264250831	12038.5	0.940231486857895
MGMT	5.9196118367099	18484.5	0.900030968141524
MPEG1	8.02767200649685	24566	0.957844617349901
TMPRSS5	11.6326923326429	9523	0.923837726938412
ITGB7	8.58001424109843	10305.5	0.916037626291952
CPM	6.12000793790007	26666.5	0.918321526729377
LYZ	9.45327063401062	12250	0.936495954786513
RCBTB2	-7.87645902910214	12401.5	0.922540936012078
ITGBL1	7.20034017597801	13949.5	0.918050555491039
KIAA0247	5.25739077562259	59879.5	0.904482638485658
PATL2	8.69483862316207	13848.5	0.938625014516316
LOC100287559	8.0803425166891	15505.5	0.938915340843108
KIAA1199	9.06818113598976	33754	0.977141640537297
MGRN1	7.3227307412407	11613.5	0.908179460380134
PRKCB	5.97925317741108	25921	0.913579530058452
KIAA0556	6.6011428296934	13355.5	0.900998722564162
YPEL3	9.24670667228493	21227	0.965218906050401
ZNF319	8.04289735580595	163153	0.975593233461077
DVL2	-8.48675768392113	9301	0.906766538923083
PIK3R5	8.02383134425607	9333.5	0.902450354198119
FCER2	6.82545780366959	13433.5	0.906727828746177
SARS2	5.68381743197934	29234.5	0.908721402856811
GMFG	7.80503254250903	15139.5	0.934057213641466
MYBPC2	8.45071139064933	11513	0.923605465876979
FIZ1	8.78296181812116	9888.5	0.914605349746448
ARHGAP25	7.97277156621962	49167	0.970328649401928
ST3GAL5	7.06294278114948	21366	0.935295939302443
AK128525	7.42114058523167	58955	0.961947896101885
Ig	kappa	7.42466157111991	59014.5	0.961947896101885
AFF3	6.9821405154407	56190.5	0.952289706963961
KYNU	6.82877119385718	27042	0.937231448147718
CDCA7	6.55766105653762	24185.5	0.927379708125266
ITM2C	6.2169793915961	20952	0.913579530058452
DIS3L2	5.36758612043627	39279	0.903921340920528
SLC2A4RG	7.51508900917425	12916.5	0.919618317655712
ZBTB46	6.87927410167799	12723	0.904385863043394
IFNAR2	8.87152026232911	22434	0.963747919327991
IL10RB	7.69400957842186	20607.5	0.946986412727906
DQ570096	8.9688361733	8501	0.903340688266945
SYN3	6.04652615049321	34013.5	0.921960283358495
TIMP3	9.14229275026428	31024	0.975864204699415
APOBEC3C	7.63033473961366	34498.5	0.960593039910192
A4GALT	7.7834447485291	9650	0.901947121898347
ADAMTS9	8.31481298238275	39519.5	0.971548019974451
BTLA	9.11309098344238	8844	0.907966554407154
SIDT1	7.94205446227383	18736.5	0.946928347462548
VEPH1	5.4572965397122	37611	0.907134285603685
PTX3	7.31456086956053	38043.5	0.955231680408779
LOC152742	10.3307675230712	9651.5	0.921766732473967
RHOH	8.36454000890381	8872	0.901540665040839
PPM1K	8.37290611633254	8758.5	0.900263229202957
NR3C2	7.10038467599179	27721.5	0.945050903882631
CD180	9.59141845465834	10401	0.924708705918786
MEF2C	6.39956082268076	17560.5	0.911140788913405
CXXC5	-8.22393274302244	10429.5	0.913502109704641
NEDD9	7.55054119586942	12214	0.916250532264932
CFB	9.49984588708321	9760.5	0.919057020090582
HLA-DPB1	9.17609001821687	21655	0.96535439166957
SLC22A1	-7.8316088577771	9525.5	0.901772926102272
ELMO1	6.53809861978072	53826	0.941199241280533
ADAM28	6.75639580866875	12800	0.901792281190725
AB209185	8.32402259451338	18209.5	0.949870320907367
TP53INP1	7.93555596275353	11947	0.920857043316688
DOCK8	7.578435593632	34224	0.95945108969148
NPR2	-8.31766738309861	11291	0.920953818758952
SPAG8	-10.0061347861721	11301	0.933457205899431
PNPLA7	6.14974711950468	23205	0.914992451515503
P2RY10	9.07475313059394	9419	0.913308558820114
DOCK11	6.3275575899753	27006	0.924708705918786
EMR4P	5.91075514388533	18931.5	0.901018077652615
LOC100499484	5.8984050715157	35335.5	0.917760229164247
SNORA70G	6.2390396267353	24670.5	0.919386056594279
LOC100507250	6.22147891237363	24662.5	0.918863469206054
