Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	-5.42240136833333	269.596448977937	0.504743557122606
WASH7P	-4.30661934006676	4514.58097821478	0.584166333466613
FAM138A	-9.82312350840018	1877.01650667161	0.792610228635818
OR4F5	-13.2799738222324	2543.07202078418	0.870488168369016
LOC729737	-8.7223572919226	2507.6105094535	0.760641198066228
DQ597235	-7.96755032301456	6494.75227297007	0.757587873941333
DQ599768	-6.35557032408741	5945.77959467411	0.683435716622442
LOC100132287	-8.34193603913924	4474.12342691981	0.764276107738723
BC036251	-9.67924244330142	705.854775625854	0.707880484169968
M37726	-2.0371781462318	70029.4193204599	0.39682308894624
LOC100133331	-4.72856815567009	5436.90177964116	0.609465304787176
DQ575786	-0.907757893693008	660.871495631144	0.202028279597252
DQ599872	-2.51455648721618	312767.444802101	0.439896768565301
AK310751	-2.53874990082511	5033.28809970405	0.434408054959834
LOC100288069	-4.09697910960337	2258.15963448125	0.556032132601505
LOC643837	-0.262255557093718	657.97743100422	0.102722547344698
FAM41C	-4.01769785605326	1115.92852497215	0.525080876740213
AK056486	-9.13107188381936	107.71070159096	0.493420813492785
SAMD11	-6.90960881208767	413.983227118574	0.580785867471193
NOC2L	-2.90225204048186	967.286498485497	0.45392751990113
KLHL17	-5.76557691671702	384.875193738801	0.537312347788158
PLEKHN1	-6.96071760217405	1989.96343705386	0.676202246374178
C1orf170	-5.04425939037229	687.929740329769	0.547072080258806
HES4	-8.11596642157921	952.022188992068	0.681381992657482
ISG15	-14.0363304889484	111896.721139706	0.989749554723565
AGRN	-4.19238132198423	3000.02134291218	0.569263203809385
BC033949	-7.44572649135368	3123.46504328892	0.716604267383956
C1orf159	-2.00871773063499	1432.44104488424	0.371015230271528
LOC254099	-8.59895603842156	82.9357150819464	0.466395260077787
MIR200B	-7.79949855841347	1367.14681833915	0.69297735451274
AK128833	-5.25208290759659	39.3918303560136	0.387608592926466
TTLL10	-2.39754048178699	70.3210812951661	0.289956744574897
TNFRSF18	-8.77170170244148	84.3152984405747	0.468249064010759
TNFRSF4	-12.6978437095118	1801.66456781358	0.836810730253353
SDF4	-4.83742572152983	4381.56865410915	0.61191886881611
B3GALT6	-4.49029412446597	2361.8624790904	0.578332303442259
FAM132A	-5.3410811206566	1190.48664289061	0.588346479589982
UBE2J2	-4.30543975595402	2640.19184440029	0.572625495256443
SCNN1D	-9.68494053595993	2018.70038683434	0.79122896296027
ACAP3	-6.56664725995495	1535.99972397578	0.647322889026208
PUSL1	-9.76647092224698	1327.10510065739	0.76609356257497
CPSF3L	-5.67854304200598	4911.26159323678	0.65064883137654
GLTPD1	-5.49171060718826	2454.88735082983	0.625804223765039
DVL1	-4.10715997454316	911.806727946053	0.519992003198721
MXRA8	-8.76225375959365	2445.78022467571	0.76124095816219
AURKAIP1	-5.6720418676237	8123.65896271156	0.657228017883756
CCNL2	-2.82682870256421	2651.3222762105	0.479390062156955
LOC148413	-5.20552303620982	4200.87675073671	0.6271309657955
MRPL20	-5.07062587557553	10050.2780749899	0.632310712078805
ANKRD65	-15.3260541806206	6551.58084840052	0.936007415215732
