Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ISG15	-14.0363304889484	111896.721139706	0.989749554723565
ANKRD65	-15.3260541806206	6551.58084840052	0.936007415215732
VWA1	-14.8420049240361	3691.3966486394	0.901203155101596
BC018779	-13.1794597287327	4488.66043266149	0.914070735342227
FLJ42875	-16.1586885604268	7728.13144306659	0.943150012722184
CCDC27	-16.1287491485147	100386.999170437	0.991676056849987
LOC388588	-18.5008408569419	393035.318784908	0.997928101486678
C1orf211	-13.6633929804574	5923.24207379139	0.930845843480789
IFI6	-11.0200468340924	14165.4976950843	0.910472174766457
FABP3	-13.9792275581554	5189.20787816371	0.923448802297263
TMEM54	-11.3446430014432	5740.53124074355	0.900839664134346
AK025726	-17.3267705229914	141832.645171984	0.993929700846934
LSM10	-11.5903867874884	17477.2046972056	0.933990040347497
ATPAF1-AS1	-14.4039942973232	5769.26205403983	0.929355530515067
LDLRAD1	-12.5341022624662	10627.2550478259	0.945858020428192
BC042048	-11.1618449032235	9655.10815587806	0.908418450801498
MIR101-1	-13.2548621445539	30590.0327955315	0.974519283195813
BARHL2	-14.5957664736186	3884.98126484926	0.905001635709353
S1PR1	-12.4879812311628	5319.74884699851	0.920231907237105
CHI3L2	-13.05038827921	6571.33686145169	0.934353531314747
BOLA1	-13.7784644864076	3782.31988400891	0.902857039002581
ECM1	-13.2380744149804	5164.58402867869	0.922558249427502
ADAMTSL4	-11.59661324168	4661.135713902	0.900421649522009
TNFAIP8L2	-14.8620846237268	8734.99681713132	0.948275235360401
CRNN	-15.037908627641	4127.70102194178	0.909545272799971
LCE5A	-13.7202466747532	9649.3764210882	0.951982843226346
CRCT1	-13.4119991467605	12777.9738128625	0.959634328086947
LCE2A	-13.723287542847	5362.18648804977	0.925157209843335
LCE4A	-13.723287542847	8181.48041475635	0.945149213042056
EFNA1	-11.2338976972255	7113.25679238017	0.903384100905092
ETV3L	-12.7553912023349	4101.37008497326	0.907164406964487
CYCSP52	-13.1914127742782	24849.6539432795	0.971284213587292
NR1I3	-11.6371207054963	4669.88820581268	0.901294027843408
RGS4	-15.3670957244395	4280.89934671745	0.912089709570717
SNORD44	-11.767789234128	13414.5987909594	0.935207735087783
SEC16B	-12.5811869656248	68436.3631306478	0.973065319326815
DQ571986	-14.5424685033331	186704.299729764	0.993966049943659
DQ595741	-14.5428237970518	180726.084332666	0.993857002653484
DQ578106	-12.6805044466565	51356.9621331433	0.971665879102904
DQ576856	-12.1232470508365	36102.7426171756	0.958343935153211
DQ590691	-11.177357052004	18112.7947736818	0.920795318236342
DQ591798	-12.9138325291383	60373.7231069791	0.977299989095271
RGS1	-12.1548175433502	6112.64291592153	0.922394678492239
RGS13	-11.9895265520037	5436.35502125979	0.914997637308713
MYOG	-14.0321574338452	5625.19291468728	0.928192359419868
AX229788	-12.4987315954548	31669.6911456733	0.964414234306277
HIST3H3	-13.1287990604575	4370.62255437962	0.912562247828141
DQ589067	-11.0365063706875	16427.2908226456	0.91387081531024
LYZL2	-12.9346854235237	37839.582114896	0.972974446585002
FZD8	-14.0484609194074	73563.2191941444	0.986605357856857
SNORD98	-12.7781048207776	24605.4179745756	0.966104467303987
DQ574810	-11.3672234051371	20661.6056264682	0.929719021482316
LIPF	-13.6220083841691	7687.85693798213	0.942350332594235
CYP2C8	-12.0921573967923	14105.362000774	0.94400421649522
TM9SF3	13.8304128401371	3760.51423383197	0.902475373486969
MGMT	12.4473817751958	6997.50626562347	0.931263858093126
NKX6-2	-14.5615071687385	5569.71327267252	0.927756170259169
OR2AG2	-11.74787221316	10166.1578427536	0.92886481770928
MTRNR2L8	18.4074933614572	9669585.26818423	0.999745556322925
TRIM44	13.6560462684827	4717.72679479665	0.917851041401621
DQ592438	-11.3469964318315	19100.471868017	0.927719821162444
PRG2	12.3807444583317	5163.23193668092	0.918014612336883
SERPING1	-11.8854338086965	4468.75989211611	0.904311002871579
AB231721	-12.0455513960098	16895.8734819285	0.946385082330704
FTH1	11.5715689179309	6385.619776473	0.910799316636982
AHNAK	14.0116477692445	3737.07004473027	0.902021009777907
AB231703	-11.5463941536195	9714.12739948175	0.921667696557741
NUDT8	-12.1288075154347	4384.89736940049	0.907273454254662
SCARNA9	11.1065726692954	95883.8391121687	0.934171785831122
MMP12	-13.6489904769029	7247.94504528654	0.939987641307114
AL833634	-13.7952136042467	11310.0805583645	0.957217113154738
NLRX1	-12.5851127040833	4545.62033496405	0.912634946021591
PDZD3	-14.1183702508286	6288.85432692393	0.93393551670241
C1QTNF5	-14.0821157421518	4652.29045289921	0.917124059467122
MIRLET7A2	-14.2832272595104	64998.0166412225	0.98626004143797
C12orf53	-11.8284305297056	4674.84448685112	0.905183381192977
C12orf39	-16.0382332087297	11709.6904396135	0.959161789829523
HOXC13	-14.0303500344114	9654.98024972063	0.952328159645233
HOXC11	-13.1818139236184	5196.3830381257	0.922667296717677
OR6C2	14.3082235967408	678119.508472833	0.996801279488205
SUOX	-11.1116792114534	10916.3291396615	0.909381701864709
RPL41	11.5822124362156	47504.6229656955	0.945512704009305
SLC35E3	12.8500379876651	4985.98846941048	0.919504925302606
BC118985	12.240463078982	7603.26907001585	0.931445603576751
BC122534	12.240463078982	7890.50367932756	0.932699647413762
BC107595	12.7145201637299	8027.72917473939	0.939042564792265
UBE2N	12.9836175000019	6943.70696493443	0.935934717022282
CHST11	12.8711287585137	10868.0021014656	0.95098324306641
LINC00173	-11.8363556616867	9162.73983558373	0.928337755806768
SNORA49	-11.5767347273239	28693.5499798271	0.9404783541129
AK055957	-14.9171342122457	6303.94600004227	0.93422630947621
BC048997	-13.8883176146316	7581.41395351443	0.941950492530261
C1QTNF9B-AS1	-12.2546755768898	29789.0064753716	0.958998218894261
C1QTNF9B	-12.7723547244857	22133.3835893523	0.964541456144815
