MvaluesInNoise	DvaluesInNoise
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
Inf	Inf
