Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	Inf	Inf	1
WASH7P	Inf	Inf	1
FAM138A	Inf	Inf	1
OR4F5	Inf	Inf	1
LOC729737	Inf	Inf	1
DQ597235	Inf	Inf	1
DQ599768	Inf	Inf	1
LOC100132287	Inf	Inf	1
BC036251	Inf	Inf	1
M37726	Inf	Inf	1
LOC100133331	Inf	Inf	1
DQ575786	Inf	Inf	1
DQ599872	Inf	Inf	1
AK310751	Inf	Inf	1
LOC100288069	Inf	Inf	1
LOC643837	Inf	Inf	1
FAM41C	Inf	Inf	1
AK056486	Inf	Inf	1
SAMD11	Inf	Inf	1
NOC2L	Inf	Inf	1
KLHL17	Inf	Inf	1
PLEKHN1	Inf	Inf	1
C1orf170	Inf	Inf	1
HES4	Inf	Inf	1
ISG15	Inf	Inf	1
AGRN	Inf	Inf	1
BC033949	Inf	Inf	1
C1orf159	Inf	Inf	1
LOC254099	Inf	Inf	1
MIR200B	Inf	Inf	1
AK128833	Inf	Inf	1
TTLL10	Inf	Inf	1
TNFRSF18	Inf	Inf	1
TNFRSF4	Inf	Inf	1
SDF4	Inf	Inf	1
B3GALT6	Inf	Inf	1
FAM132A	Inf	Inf	1
UBE2J2	Inf	Inf	1
SCNN1D	Inf	Inf	1
ACAP3	Inf	Inf	1
PUSL1	Inf	Inf	1
CPSF3L	Inf	Inf	1
GLTPD1	Inf	Inf	1
DVL1	Inf	Inf	1
MXRA8	Inf	Inf	1
AURKAIP1	Inf	Inf	1
CCNL2	Inf	Inf	1
LOC148413	Inf	Inf	1
MRPL20	Inf	Inf	1
ANKRD65	Inf	Inf	1
VWA1	Inf	Inf	1
ATAD3C	Inf	Inf	1
ATAD3B	Inf	Inf	1
ATAD3A	Inf	Inf	1
AX747755	Inf	Inf	1
SSU72	Inf	Inf	1
AK094692	Inf	Inf	1
MIB2	Inf	Inf	1
MMP23B	Inf	Inf	1
CDK11B	Inf	Inf	1
CDC2L1	Inf	Inf	1
SLC35E2B	Inf	Inf	1
MMP23A	Inf	Inf	1
CDK11A	Inf	Inf	1
AK097814	Inf	Inf	1
SLC35E2	Inf	Inf	1
NADK	Inf	Inf	1
GNB1	Inf	Inf	1
CALML6	Inf	Inf	1
TMEM52	Inf	Inf	1
C1orf222	Inf	Inf	1
KIAA1751	Inf	Inf	1
AK054708	Inf	Inf	1
GABRD	Inf	Inf	1
PRKCZ	Inf	Inf	1
AX747530	Inf	Inf	1
C1orf86	Inf	Inf	1
BC018779	Inf	Inf	1
SKI	Inf	Inf	1
MORN1	Inf	Inf	1
LOC100129534	Inf	Inf	1
RER1	Inf	Inf	1
PEX10	Inf	Inf	1
PLCH2	Inf	Inf	1
PANK4	Inf	Inf	1
HES5	Inf	Inf	1
LOC115110	Inf	Inf	1
TNFRSF14	Inf	Inf	1
FAM213B	Inf	Inf	1
MMEL1	Inf	Inf	1
ACTRT2	Inf	Inf	1
FLJ42875	Inf	Inf	1
PRDM16	Inf	Inf	1
ARHGEF16	Inf	Inf	1
MEGF6	Inf	Inf	1
TPRG1L	Inf	Inf	1
WRAP73	Inf	Inf	1
TP73	Inf	Inf	1
TP73-AS1	Inf	Inf	1
CCDC27	Inf	Inf	1
LOC388588	Inf	Inf	1
LRRC47	Inf	Inf	1
CEP104	Inf	Inf	1
DFFB	Inf	Inf	1
C1orf174	Inf	Inf	1
LOC100133612	Inf	Inf	1
LOC728716	Inf	Inf	1
LOC284661	Inf	Inf	1
AJAP1	Inf	Inf	1
BC037321	Inf	Inf	1
AK125078	Inf	Inf	1
NPHP4	Inf	Inf	1
KCNAB2	Inf	Inf	1
CHD5	Inf	Inf	1
RPL22	Inf	Inf	1
RNF207	Inf	Inf	1
ICMT	Inf	Inf	1
C1orf211	Inf	Inf	1
GPR153	Inf	Inf	1
ACOT7	Inf	Inf	1
HES2	Inf	Inf	1
ESPN	Inf	Inf	1
