Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ISG15	-10.377158875506	4651.33333333333	0.922594478344799
CD53	10.7312925106519	9061.16666666667	0.960870353816057
FCRL5	10.8945651685352	4756.66666666667	0.926610698692785
FCRL1	8.82336724004623	10396	0.946247425084535
MPEG1	12.0049519299968	8218.16666666667	0.960481687330768
SCARNA9	7.64430509141426	23987	0.936519102957752
MMP1	-10.229820214341	4799.33333333333	0.923989791026986
OR6C2	19.7882287116137	452709.833333333	0.999810848977159
IFNG	13.6382724877931	9562.16666666667	0.968367730317281
IL26	10.1082228585664	9557.33333333333	0.959047508000052
IL22	12.9012314599068	9561.16666666667	0.96805679712905
LYZ	10.8276661487921	4086.91666666667	0.915481881664011
LUM	12.6801397177632	3281	0.901995154624483
IGHD	9.91784670597795	3543.16666666667	0.900090688846567
FLJ00382	9.91689729677886	3540.83333333333	0.900049231088137
LOC100287559	11.1185008204691	5185.41666666667	0.933109202326817
ZNF319	7.39430964530614	54266.8333333333	0.9338943086271
FCER2	9.99840415708714	4513.25	0.918168862632309
GMFG	9.53494337914128	5062.33333333333	0.92180289426976
CEACAM1	-9.57948737065501	4202.5	0.909717957687175
RSAD2	-10.8781275682393	9405.5	0.963114254991125
ARHGAP25	8.96358213056	16441.8333333333	0.960810758288313
AK128525	13.2708063121472	19765	0.988733854146424
Ig	kappa	12.7279204545632	19783.75	0.988421625403242
CXCR4	7.9106580253267	7827.83333333333	0.917052094264578
ELMO1	6.69407702631976	17962	0.901566325935715
DOCK8	7.14844775288719	11387.1666666667	0.90824491170793
VENTXP1	14.9903017329776	35259.75	0.995527744309275
XIST	8.99927525016656	8938	0.9435772863306
TSIX	9.51546195205098	7065.16666666667	0.940325443403682
OR10A7	19.7883476803895	452747.166666667	0.999810848977159
OR6C74	19.7883476803895	452747.166666667	0.999810848977159
OR6C6	19.7883476803895	452747.166666667	0.999810848977159
OR6C1	19.7883476803895	452747.166666667	0.999810848977159
OR6C3	19.7883476803895	452747.166666667	0.999810848977159
OR6C75	19.7883466182117	452746.833333333	0.999810848977159
OR6C65	19.7883466182117	452746.833333333	0.999810848977159
OR6C76	19.7882281804811	452709.666666667	0.999810848977159
OR6C70	19.7882276493483	452709.5	0.999810848977159
OR6C68	19.7882276493483	452709.5	0.999810848977159
OR6C4	19.7882265870821	452709.166666667	0.999810848977159
OR10P1	19.7882265870821	452709.166666667	0.999810848977159
LOC100499484	7.74951821015897	11923.6666666667	0.927351756124736
SNORA70G	10.6324615360553	8328.66666666667	0.956799720160131
LOC100507250	10.1500645790815	8325.16666666667	0.953742210475857
JA660597	-6.87993768329716	13118.1666666667	0.902642932099965
