Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ISG15	12.5594194660285	9059.18585691731	0.987041728184008
SERINC2	10.4911182830459	2102.06356047146	0.922693293962235
DQ586768	-9.76026380414946	19685.9175601065	0.973508431113529
DQ590589	-10.3901692857447	28298.8482352426	0.983046079726475
DQ587539	-12.7746053492165	137992.050774018	0.997919030227679
S100A4	7.74510747430491	4138.47266062134	0.905151915455746
RARRES3	9.37892446258872	1994.51548306123	0.906664076462818
POLD4	11.7228616129043	1716.70728022799	0.91385655451084
LOC100288077	8.04131967695048	3477.18410251746	0.907246872328852
MMP1	13.8627863695015	4374.36720997809	0.970805812417437
IGFBP6	8.62168685931711	3100.09287059323	0.917255420001554
OR6C2	-19.8261869202612	584936.628355017	0.999679850804258
IFNG	-11.5367587602503	1829.60378840445	0.918316885538892
IL22	-10.2085848730539	1976.81288605683	0.915942186650089
CLDN10	-8.02698136802948	3136.56696756225	0.903052296215712
IFI27	8.99961694056014	4109.2969846789	0.936472142357604
DQ582260	-12.7746053492165	153324.50086002	0.997993628098531
CCL3L3	12.3771142924031	2761.15356272623	0.94825394358536
CCL3L1	12.3771142924031	3296.89977638953	0.957555365607273
BC037494	-12.8635263300364	7071.5331333851	0.983478125728495
DQ596206	-12.7746053492165	159221.597046944	0.998060455357837
UCA1	14.2399827309721	11719.677620429	0.99106845908773
RRAS	10.6841241652809	1723.67206094838	0.909480146087497
RSAD2	13.2535055635859	3510.40320384691	0.961417359546196
DQ579969	-9.41500304778193	19679.7728690627	0.967918253166524
CST4	10.8637731124023	1816.07864189802	0.914633615665553
CST1	11.8149406144595	4188.70552660392	0.96644028285026
E2F1	13.2617861348414	2204.77884226986	0.934958427228223
PPDPF	8.27220117032992	3264.35042363598	0.910819799518222
GSTT2B	10.7930779643808	2105.86575963559	0.924973191390162
ADAMTS9	8.87302418686798	3120.29157841745	0.922907762840936
MIR16-2	-12.404482045708	39541.5745343684	0.995525681871163
SCARNA7	-11.5874810812974	11870.1690471572	0.987316807832776
ARL14	-9.34310460493984	2395.61561580029	0.917583339808843
IL7R	9.75531498755036	2542.22978731544	0.926894086564613
MSX2	-7.93408890280064	3830.83493154176	0.907938456756547
SLC22A1	-8.7558553954068	2178.82489282408	0.901501282150905
DQ594967	10.1401043392323	26685.8964301334	0.979930064496076
DQ593490	-9.03421670313226	63591.0516504855	0.963375553656073
DQ574659	-10.4203714814398	59686.951299259	0.985134820110343
DQ575984	-10.7984615257241	61622.7095995195	0.988808765249825
DQ584609	-8.88066495619786	68118.6473422929	0.960231564224104
PLAT	11.1258496244949	6511.32318949147	0.976235915766571
SPINK4	-9.16265161086568	2050.72288590889	0.905035356282539
DQ588135	-9.74592694238303	16892.2275355403	0.972596161317896
DQ587119	-8.89333326594388	19678.5730675584	0.957389074520165
DQ570938	-9.76026380414946	19685.9175601065	0.973508431113529
BC064148	-12.4295433451969	2458.53455739912	0.941251068459088
LCN2	10.2542786177865	1757.60257209345	0.907649390006994
VENTXP1	-13.8272093011574	9146.20679858494	0.988163804491413
F8A3	9.74471733127991	3112.20604978624	0.937502525448753
IFIT2	12.1004093372678	2295.02795335881	0.936271660579688
OR10A7	-19.8262452861477	577579.090705786	0.999678296681949
OR6C74	-19.8262452861477	584960.29314292	0.999679850804258
OR6C6	-19.8262452861477	581246.259535664	0.999678296681949
OR6C1	-19.8262452861477	584960.29314292	0.999679850804258
OR6C3	-19.8262452861477	586835.165877353	0.999681404926568
OR6C75	-19.8262452861477	584960.29314292	0.999679850804258
OR6C65	-19.8262452861477	584960.29314292	0.999679850804258
OR6C76	-19.8261872560023	584936.764480461	0.999679850804258
OR6C70	-19.8261869202612	584936.628355017	0.999679850804258
OR6C68	-19.8261869202612	584936.628355017	0.999679850804258
OR6C4	-19.8261755050172	590592.632348847	0.999684513171187
OR10P1	-19.8261755050172	583069.159325295	0.999679850804258
MIR15B	-12.404482045708	32682.3218090188	0.994947548372057
DQ584971	-7.45977493583171	61307.0869679528	0.919950268086098
DQ573253	-9.74592694238303	17474.7181402141	0.972777993628099
DQ593719	-12.429344592849	159215.4523559	0.997462118268708
DQ593430	-9.76026380414946	16510.7695665409	0.972647447354107
DQ581988	-11.913602570157	153306.636637308	0.99596705260704
DQ584320	-12.7746053492165	153324.50086002	0.997993628098531
DQ593554	-12.7746053492165	142750.397352432	0.997933017328464
Mir_584	-7.59244536464826	6765.1135140125	0.912064651488072
U6	-7.352105473875	29747.9033165206	0.914729971248737
Mir_548	-10.5135279569854	23141.6895445885	0.98368171575103
Mir_562	-10.0588530735647	31064.3239039369	0.979320848550781
U7	-9.54225831153844	45684.7321003324	0.972526225813972
Mir_598	-8.08466281380813	5224.7601749076	0.921181132955164
SNORD112	-7.86205750915972	10968.0621063856	0.92646825705183
DD431424	-8.31382962395469	7497.26811413873	0.93485740927811
DM376721	7.71132923169446	4158.00457320863	0.904163493666952
DM119508	-12.404482045708	145584.888058357	0.997308260160075
MIR4500	-10.220055524851	9265.38185288807	0.973945139482477
TRNA_Tyr	-7.27818984801952	11266.8708539929	0.907835884684125
JA682656	-8.93667316369626	13133.9306250099	0.95618462973036
DQ574721	7.22535686587965	23829.2835683294	0.909946382780325
TRNA_Sup	-11.6676110348145	25967.7052261848	0.992047556142668
AF086346	10.8276793847376	3595.77740506095	0.955163571373067
DQ595190	7.9109573331086	3853.24223172766	0.907509518999145
MIR133A1	-12.6459717569609	43029.3019710152	0.996215712176548
MIR1-2	-10.6484621121388	44527.1766517746	0.986940710233895
MIR4774	-9.39816310621477	5238.04452163705	0.951251845520242
DQ589665	7.72553199151184	3620.11883830366	0.900018649467713
MIR4278	-9.0766603696253	4615.20263522254	0.941897583339809
MIR4634	-13.4511284239211	158407.261971751	0.998602844043826
PMSP	9.82382781092935	2425.68952787249	0.924929675965498
MIR590	-8.61047590547281	2374.78955652309	0.903405081979952
DQ590442	-10.3901692857447	26412.2583528931	0.9828689097832
DQ590943	-9.74592694238303	18098.8152166503	0.972970704794467
DQ581981	-9.76026380414946	19685.9175601065	0.973508431113529
MIR1184-1	7.37985837093502	6044.47535718946	0.903151760043515
