MvaluesInNoise	DvaluesInNoise
-2.31410859042806	147
9.65176927141799	4017
0.517655855713946	565
1.61944798436011	2713
-0.0700036321155707	62
-8.99378756313484	5088
-13.4706588740606	5675.5
7.78930074561706	3083
-1.22239242133645	8
-0.347923303420307	3
8.09397614820901	7078
0.299560281858908	6
6.49493248926165	2319
7.93369065495223	6331
-1.24100809950379	15
-2.11547721741994	20
-2.11547721741994	20
5.8512685434796	1475
-2.74589423628247	3402
-2.5200479108762	3301
-2.5200479108762	3301
-2.06056299215088	4383
-0.226489646489318	111
-9.62935662007961	791
-8.62935662007961	790
-1.64067193330744	538
-1.85244281158614	658
-1.6179243103771	2537
-1.54675069595326	2475
-5.65920770447918	2130
-9.08547245918128	2169
-5.69315503640252	2131
-1.09963052217794	1159
3.57645100086564	929
-2.3512224016814	4160
-8.87763272004744	5163
-8.87763272004744	5163
-1.79636100293997	512
2.50246480966915	22292
0.695109887611542	2957
-3.47569528915247	4303
-5.4670016593078	4669
2.6724253419715	817
2.6724253419715	817
2.6724253419715	817
2.6724253419715	817
-8.34429590791582	324
-9.29462074889163	313.5
-5.97269265400426	309
-3.36757076044307	261
-5.02790599656988	253
-5.43295940727611	211
-5.43295940727611	211
-5.43295940727611	211
-5.43295940727611	211
-13.8887432488983	7583.5
-13.8887432488983	7583.5
-1.04261172528677	1821
9.23720996075502	2410
-3.22873900339923	20216
-0.278301162487104	70
0.223910248978701	319
-4.90858688626942	2468
-0.871928415690569	1158
-0.803263768268632	1090
-0.803263768268632	1090
-1.88349520732836	3935
-2.12643454327275	4925
-3.18171697877394	5684
-3.18171697877394	5684
6.63178335747415	589
-4.11836531022955	9739
-2.68412094978544	3229
-4.76502076995801	15138
-1.84947356486287	1695
-1.84947356486287	1695
-4.17361948500005	2216
-0.468232399991138	319
0.703702505150093	1666
0.697726354465797	1655
4.19896220292302	4081
-0.487240277561302	1734
-0.487240277561302	1734
-0.487240277561302	1734
-2.34961520740741	4863
-2.35326606142037	4866
-2.4615840028522	4941
-1.76983784362944	2468
-2.07809432445817	2665
-3.93552568601417	8180
-4.2558704315117	10356
-4.2558704315117	10356
-4.2558704315117	10356
-3.95631014965279	10224
-2.8970886126167	9461
-2.89316023703526	9457
-1.28879316225511	2123
-3.55826391721126	7104
-1.97562085428686	5995
2.86989638812632	1994
2.86989638812632	1994
-4.09843809089209	12549
-1.45461250357026	4366
-11.7469341363723	6872
-14.1003338191265	35126
-7.85022796995104	34923
-8.06891967015889	40664
-8.60221280411045	40700
-5.68517015942452	31886
-8.87331036245355	10763
-4.55167559226593	12551
-4.67987943477433	12587
-0.970046777898372	490
-0.961219401110793	482
-4.32824900758756	6738
-1.23862410526019	4086
-2.42981285195924	2238
-13.8449999218278	14714
-6.13764078974687	14506
-6.12849390436361	14413
-6.69598582368143	21460
1.07800251200127	110
-1.21150410519371	275
-3.06088224214702	426
-6.00409275463388	13205
-6.0321868740589	13211
-0.916709656638964	182
-13.8394006489884	7328.5
-13.8394006489884	7328.5
-13.8394006489884	7328.5
0.271245778589408	1516
0.271245778589408	1516
5.14327080108189	8963
5.11048086596422	8957
1.52732060787705	6024
1.52732060787705	6024
5.90439025695687	9070
5.90439025695687	9070
0.603341030036011	81
3.88479528666987	2658
-0.870912922560567	2479
4.5129891935819	2860
5.81156150472423	8771
-8.6582114827518	201.5
2.82661141151035	1231
1.14339930245331	671
-0.548893246013634	175
-0.548893246013634	175
-0.514945914090297	166
-4.13562379053171	39785
-4.07788471941964	39687
-4.08251245407215	39695
4.41651977110439	1547
2.74558404727338	1381
2.74647267991058	1382
6.88041838424733	28270
-5.88264304936184	116
-5.68650052718322	101
-5.56985560833095	93
-11.2021238238305	1177.5
-7.59991284218713	96.5
-5.57768926580898	1356
-5.07800251200127	295
-8.85070776021539	1382
-7.85070776021539	1379
0.847033825717524	266
0.252351324066664	95
-0.514158545713558	149
-4.33054346151077	3671
-9.41750093817138	8194
-0.830973861826879	3593
4.29497263050066	4378
4.04751346120263	4350
1.10912172238011	324
-9.71314590249026	20959
-1.13420718939687	11424
-5.9561226559828	20646
-11.0728025345442	1076.5
-7.13406293489328	45326
8.93179278792885	6823
8.93179278792885	6823
5.25873426840017	522
0.0774045036856064	28
-8.17117679765177	1149
-6.51569983828404	362
-6.51569983828404	362
-13.8321977657855	29168
-0.612598067635356	155
-8.8073549220576	447
-9.8073549220576	447.5
-11.8641861446543	1863.5
-10.0741414627525	538.5
1.71287997564189	344
1.70117447498961	340
3.07900787443979	1125
3.07900787443979	1125
5.73245011304371	1252
5.73245011304371	1252
5.73583804816048	1255
-5.58496250072116	23.5
-5.58496250072116	23.5
-5.93644091082542	16205
4.37102264441553	256
-5.52286224136822	12099
