Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ISG15	12.9588245544622	15921	0.923155078838388
ANKRD65.1	12.9304909546674	17562.75	0.925251434009826
VWA1	15.1043939968912	17613	0.973589783162281
VWA1.1	15.3222098437489	20483.5	0.979512308048461
MIB2.7	13.7335450037571	6810	0.903561231576511
PLCH2.3	14.8322966787499	14585.5	0.963892532860046
TP73.2	12.6247628241911	265224	0.931341152866734
CCDC27	15.0178115631059	265392.5	0.988752990199861
LOC388588	17.6953710420659	265305	0.999106155310338
NPHP4.1	19.2834071819079	319046	0.999421251639787
C1orf211	13.5946745036899	9277.5	0.917978496283149
VWA5B1.1	11.9769220678511	38285	0.907020860663117
FGR	13.5980525001616	9299.25	0.918499369807341
AK025726	16.6534469037682	515410	0.99798081127659
KNCN	13.9973559250204	8176.5	0.920492836381408
LDLRAD1	12.9868019914118	10145.5	0.90429431283278
BSND	12.946227469705	13809.75	0.917631247267022
BARHL2	13.7855546384104	7060	0.907348818067238
DENND2D	14.2694189297411	9873.5	0.936389124675258
CHI3L2	13.0322524019603	10470.25	0.908004732875479
CHI3L2.1	13.2415661255432	12105.25	0.922049026416647
CHI3L2.2	14.0751448440663	8629.5	0.925283586696504
TNFAIP8L2	13.3140167039014	12728.75	0.926286750520874
LCE5A	14.2294196882304	9603.5	0.934344213802505
CRCT1	14.2571668246852	9790	0.935765362553695
ATP8B2	13.041773212201	12647.5	0.917560511356329
ATP8B2.2	13.0429703039922	12658	0.917624816729686
MUC1.6	13.44876160445	16770	0.940806903824884
MUC1.7	13.44876160445	16770	0.940806903824884
MUC1.8	13.44876160445	16770	0.940806903824884
MUC1.9	13.44876160445	16770	0.940806903824884
SEC16B.1	14.3592775363486	514895	0.978830671090876
DQ571986	13.7337038704639	6810.75	0.903561231576511
DQ595741	13.7337568221455	6811	0.903561231576511
RGS13	13.0254164445442	10420.75	0.907702497620701
MYOG	14.5415806599912	11923.5	0.951404429354117
DQ599872.2	14.7338627196785	13623.5	0.960214265504026
LYZL2	11.9559525560098	35746.5	0.905831211256013
ZMIZ1.1	-12.638083896097	14340.25	0.909329423566633
WAPAL.1	-15.0771495155897	17283.5	0.972760243845976
GLUD1	-14.0404609709566	8424.5	0.923341564421123
PTEN	-15.3806639805408	21330.5	0.980740540679579
KIF20B	-14.6987770022534	19944.25	0.972142912261749
KIF20B.1	-15.2837395029745	19944.5	0.978618463358798
KIF20B.2	-13.3195027806051	12777.25	0.926878359955758
TNKS2	-12.1082493170728	20967.25	0.902750983872212
BTAF1	-12.9952018314972	10204.75	0.904963088715693
BTAF1.1	-13.7162836016347	6729	0.902358721094735
IDE.1	-13.8938703047851	7610.5	0.914036576896365
KIF11	-16.2138067091311	38002	0.994032461352471
EXOC6.2	-14.2294196882304	9603.5	0.934344213802505
MYOF	-13.4837877917538	25773.25	0.951623067623531
MYOF.1	-13.4837877917538	25773.25	0.951623067623531
HELLS	-13.7548875021635	17278.75	0.949565295676107
HELLS.1	-13.7548875021635	17278.75	0.949565295676107
HELLS.2	-13.7548875021635	17278.75	0.949565295676107
ALDH18A1	-13.8772841335232	7523.5	0.912962677161304
TM9SF3	-16.6592015450653	51747	0.996894050466857
PGAM1	-14.3609156517062	10520	0.941610720991846
ZFYVE27	-13.7110216167918	6704.5	0.901908583481236
ZFYVE27.1	-13.7159619902551	6727.5	0.902332998945392
ZFYVE27.2	-13.7159619902551	6727.5	0.902332998945392
ZFYVE27.3	-13.7159619902551	6727.5	0.902332998945392
COX15	-14.0274740907376	8349	0.922499164030146
COX15.1	-14.0274740907376	8349	0.922499164030146
DNMBP	-14.2762213573284	14880.25	0.955802916891735
DNMBP.1	-12.3359485652023	24552.75	0.913682897342902
DNMBP.2	-14.7667773421513	34844.75	0.981904467937341
KCNIP2.3	-14.5880704314899	12314	0.953526506674898
KCNIP2.4	-14.5880704314899	12314	0.953526506674898
KCNIP2.6	-14.5880704314899	12314	0.953526506674898
NOLC1	-12.2233984147116	17928.75	0.90254520667747
NOLC1.2	-15.1302890103201	17932	0.974412891941251
NOLC1.3	-15.1302890103201	17932	0.974412891941251
GBF1	-13.9666856874036	8004.5	0.918595827867377
GBF1.1	-14.5168080409048	11720.5	0.950529876276462
GBF1.2	-14.5168080409048	11720.5	0.950529876276462
GBF1.3	-14.5168080409048	11720.5	0.950529876276462
NT5C2.1	-14.0069396369829	8231	0.921110167965635
NT5C2.2	-14.0069396369829	8231	0.921110167965635
ADD3	-14.6416002158344	12779.5	0.956060138385163
ADD3.1	-14.6421081176319	12784	0.956092291071842
ADD3.2	-14.6416002158344	12779.5	0.956060138385163
ADD3.5	-14.3554887515979	10480.5	0.941379221647761
ACSL5.1	-15.5242356118243	23562.5	0.983923656660751
ACSL5.2	-15.5238682022194	23556.5	0.983897934511408
