Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ANKRD65.1	-14.5154534553886	17564.25	0.956998432803227
VWA1	-13.7824659020039	17612.25	0.942032988207487
VWA1.1	-14.0002817488615	20482.75	0.951975695604142
CCDC27	-15.3173718449648	265394	0.991502453562161
LOC388588	-17.6953710420659	265305	0.999081519923952
NPHP4.1	-12.0886503274857	318973.25	0.913444492973306
RNF207	-13.8202011275448	32542.25	0.958218790946227
RNF207.2	-14.6698151694617	32579.75	0.974725740564705
ARHGEF10L.5	-13.0980320829605	10958.75	0.903090717570588
VWA5B1.1	-12.3179589856861	38287	0.913945482105696
AK025726	-16.5159433800182	515409.5	0.997758394779436
TNFAIP8L2	-14.0509822980676	12729.25	0.935089792667574
CRNN	-14.2292319033315	9602.25	0.924202913444493
SEC16B.1	-14.8865245392135	514902.5	0.987211931248876
MYOG	-13.2196525651038	11922.75	0.910669783932379
LYZL2	-12.1258775574521	35747.5	0.90660406443491
P4HA1.1	13.283088353024	12458.75	0.914433625362896
ZMIZ1.1	12.6613327527952	14573.25	0.900816997662051
PPIF	13.6953588068562	16580.25	0.93802507514837
PPIF.1	15.0172869017436	16581	0.961854173624849
ANXA11	13.1584834626541	11427.75	0.907137168255273
ANXA11.4	14.4804115575415	11428.5	0.938461834904812
WAPAL.1	14.2982774090052	10073	0.928030984250957
BMPR1A	13.1347929983372	15738.25	0.91973897181615
GLUD1	14.4004792249779	10812.5	0.933907972150143
PTEN	14.816233690793	14424	0.9534915088765
RNLS	14.5397040816812	11908	0.941204429257765
RNLS.1	14.5392194069054	11904	0.941178737507386
KIF20B	14.3747678140928	15932.25	0.950447036456594
KIF20B.1	14.959730314814	15932.5	0.959477686714796
KIF20B.2	13.2334998466138	12037.75	0.911369884130206
ANKRD1	12.8479115172477	20271.25	0.918769108239344
BTAF1	13.0677032443732	10730.75	0.900855535287619
IDE.1	13.876133200043	7517.5	0.902891606505151
KIF11	15.2691632137112	19744	0.970114071371683
EXOC6.2	14.530040495829	11828.5	0.940819053002081
MYOF	14.0155118483236	37260.25	0.964442617475529
MYOF.1	14.0155118483236	37260.25	0.964442617475529
MYOF.2	13.5604761411716	15100.25	0.930471700536958
FRA10AC1	14.0305809305739	8367	0.912320478894227
FRA10AC1.1	14.0305809305739	8367	0.912320478894227
HELLS	13.2042654561368	11796.25	0.909725612105953
HELLS.1	13.2042654561368	11796.25	0.909725612105953
HELLS.2	13.2042654561368	11796.25	0.909725612105953
LOC728558	14.8872840906225	22728.25	0.970197569560414
TM9SF3	16.5853293503976	49164	0.993146725586414
LCOR.2	13.806871795958	17912.75	0.943446034478329
PGAM1	14.9646567386564	15987	0.959657528967449
C10orf28.1	16.5888170960802	49283	0.993217377899956
C10orf28.3	16.5888170960802	49283	0.993217377899956
DNMBP	14.5289830996306	17729.75	0.957358117308532
DNMBP.2	14.4548133485125	28068.75	0.968392724096293
NOLC1.2	14.7620186198379	13892	0.951179251342394
NOLC1.3	14.7620186198379	13892	0.951179251342394
GBF1.1	14.2296449978497	9605	0.924209336382088
GBF1.2	14.2296449978497	9605	0.924209336382088
GBF1.3	14.2296449978497	9605	0.924209336382088
NT5C2	13.5459833799452	26908.75	0.947685173290856
NT5C2.1	15.7159083813875	26910.5	0.981611129666264
NT5C2.2	15.7159083813875	26910.5	0.981611129666264
ADD3	16.4150980359018	43692	0.991830023379493
ADD3.1	16.4152961380007	43698	0.991830023379493
ADD3.2	16.4150980359018	43692	0.991830023379493
