#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001aaa.3	DDX11L1																							
uc001aac.4	WASH7P																							
uc001aae.4	WASH7P																							
uc001aah.4	WASH7P																							
uc001aai.1	WASH7P																							
uc001aak.3	FAM138A																							
uc001aal.1	OR4F5																							
uc001aam.4	LOC729737																							
uc001aaq.2	DQ597235																							
uc001aar.2	DQ599768																							
uc001aau.3	LOC100132287																							
uc001aax.1	BC036251																							
uc001abb.3	M37726																							
uc001abe.4	LOC100133331																							
uc001abi.2	DQ575786																							
uc001abj.3	DQ599872																							
uc001abl.3	DQ599872																							
uc001abm.2	AK310751																							
uc001abo.3	LOC100288069																							
uc001abp.1	LOC643837																							
uc001abq.1	LOC643837																							
uc001abr.1	LOC643837																							
uc001abt.4	FAM41C																							
uc001abu.1	AK056486																							
uc001abv.1	SAMD11																							
uc001abw.1	SAMD11																							
uc001abx.1	SAMD11																							
uc001aby.4	NOC2L																							
uc001abz.4	NOC2L																							
uc001aca.2	KLHL17																							
uc001acb.1	KLHL17																							
uc001acc.2	KLHL17																							
uc001acd.3	PLEKHN1																							
uc001ace.3	PLEKHN1																							
uc001acf.3	PLEKHN1																							
uc001acg.2	C1orf170																							
uc001ach.2	C1orf170																							
uc001aci.2	HES4																							
uc001acj.4	ISG15																							
uc001ack.2	AGRN																							
uc001acl.1	BC033949																							
uc001acn.2	C1orf159																							
uc001acr.2	C1orf159																							
uc001acs.2	C1orf159																							
uc001act.2	C1orf159																							
uc001acu.2	C1orf159																							
uc001acv.3	LOC254099																							
uc001acw.2	MIR200B																							
uc001acx.1	AK128833																							
uc001acy.2	TTLL10																							
uc001acz.2	TTLL10																							
uc001ada.3	TNFRSF18																							
uc001adb.3	TNFRSF18																							
uc001adc.3	TNFRSF18																							
uc001add.3	TNFRSF18																							
uc001ade.3	TNFRSF4																							
uc001adf.3	TNFRSF4																							
uc001adg.3	SDF4																							
uc001adh.4	SDF4																							
uc001adi.4	SDF4																							
uc001adj.1	SDF4																							
uc001adk.3	B3GALT6																							
uc001adl.2	FAM132A																							
uc001adm.3	UBE2J2																							
uc001ado.3	UBE2J2																							
uc001adp.3	UBE2J2																							
uc001adq.3	UBE2J2																							
uc001adr.3	UBE2J2																							
uc001adt.1	SCNN1D																							
uc001adu.1	SCNN1D																							
uc001adv.2	SCNN1D																							
uc001adw.2	SCNN1D																							
uc001adx.2	SCNN1D																							
uc001ady.2	ACAP3																							
uc001aea.2	ACAP3																							
uc001aeb.2	ACAP3																							
uc001aec.1	ACAP3																							
uc001aed.3	PUSL1																							
uc001aee.1	CPSF3L																							
uc001aef.1	CPSF3L																							
uc001aeg.1	CPSF3L																							
uc001aeh.1	CPSF3L																							
uc001aei.1	CPSF3L																							
uc001aek.1	CPSF3L																							
uc001ael.2	CPSF3L																							
uc001aen.1	CPSF3L																							
uc001aeo.3	GLTPD1																							
uc001aer.4	DVL1																							
uc001aeu.1	DVL1																							
uc001aew.3	MXRA8																							
uc001aex.4	MXRA8																							
uc001aey.4	MXRA8																							
uc001aez.3	MXRA8																							
uc001afa.3	MXRA8																							
uc001afb.1	AURKAIP1																							
uc001afc.2	AURKAIP1																							
uc001afd.2	AURKAIP1																							
uc001aff.1	CCNL2																							
uc001afg.1	CCNL2																							
uc001afi.2	CCNL2																							
uc001afj.2	CCNL2																							
uc001afm.3	LOC148413																							
uc001afo.4	MRPL20																							
uc001afp.3	ANKRD65																							
uc001afq.3	ANKRD65																							
uc001afr.3	VWA1																							
uc001afs.3	VWA1																							
uc001aft.2	ATAD3C																							
uc001afv.3	ATAD3B																							
uc001afw.2	ATAD3B																							
uc001afx.3	ATAD3B																							
uc001afz.2	ATAD3A																							
uc001aga.2	ATAD3A																							
uc001agb.2	ATAD3A																							
uc001agc.1	AX747755																							
uc001agd.3	SSU72																							
uc001age.1	SSU72																							
uc001agf.1	AK094692																							
uc001agg.3	MIB2																							
uc001agh.3	MIB2																							
uc001agi.3	MIB2																							
uc001agj.3	MIB2																							
uc001agk.3	MIB2																							
uc001agl.2	MIB2																							
uc001agm.3	MIB2																							
uc001agn.3	MIB2																							
uc001ago.3	MIB2																							
uc001agp.3	MMP23B																							
