geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
DDX11L1	25	16	0	0	0	5	31	1	5	9	0	0	0	4	0	21	9	41	5	37	875	4	30
WASH7P	694	2138	56	0	4	735	1647	2309	66	609	14	13	2487	466	1338	329	304	2888	739	4022	13903	4291	633
FAM138A	3	4	0	0	2	1	6	2	2	6	0	1	0	0	0	0	0	7	3	10	5098	0	0
OR4F5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5676	0	0
LOC729737	2	3	2	1	9	69	1606	1207	284	423	34	1	61	39	10	63	19	7	79	3097	14	110	82
DQ597235	2	0	2	0	1	0	5	1	0	2	1	0	6	0	3	5	0	2	1	6	388	6	5
DQ599768	2	0	2	0	8	0	11	8	4	10	6	0	6	0	3	0	0	2	8	12	388	6	0
LOC100132287	30	24	2	60	44	97	2568	5080	285	526	42	9	57	74	6	117	23	56	201	7104	26	134	140
BC036251	0	0	2	1	0	0	36	0	0	3	0	0	0	44	3	0	3	2	1	32	1188	47	3
M37726	28	1289	17	2783	619	1977	998	646	701	400	2977	372	827	2110	3888	732	3642	1334	5379	2345	26	6825	4374
LOC100133331	109	877	25	1626	848	436	2906	5513	310	633	54	35	78	376	602	7926	879	1011	2862	8216	3582	1056	8805
DQ575786	0	2	17	65	8	1	8	3	0	10	4	0	1	3	25	4	21	19	74	11	26	29	25
DQ599872	1734	797	3405	257	1416	882	55	8	0	2	7	0	2446	2056	1208	1733	1561	5936	2555	63	27243	5710	3294
AK310751	36	853	23	1566	261	301	493	953	55	58	11	12	11	248	595	7729	844	912	2128	1501	26	854	8573
LOC100288069	14	3	21	66	708	4	333	261	2	348	353	2	455	2	29	8	64	38	778	596	3998	486	72
LOC643837	262	21074	25	65	105	504	949	359	74	413	1505	18	191	5	22	872	88	21361	674	1382	5765	218	960
FAM41C	492	3	0	1	11	51	261	381	11	38	88	7	20	7	83	137	34	495	63	653	764	110	171
AK056486	0	2	0	0	0	0	1	0	0	2	0	0	0	2	6	2	21	2	0	1	792	8	23
SAMD11	0	2	4	0	0	32	251	1	2	2	9	5	4	20	4	2	22	6	32	254	910	28	24
NOC2L	49	1142	12	1	1665	36	1148	65	75	368	296	5	640	27	78	2	24	1203	1702	1288	3763	745	26
KLHL17	2	2	0	1	0	74	12	30	1	0	4	3	0	462	2	8	3	4	75	43	2173	464	11
PLEKHN1	0	18	3	0	0	147	5	948	61	181	5	3	2	0	4	6	0	21	147	1014	5174	6	6
C1orf170	0	2	277	0	0	0	0	11	0	2	0	0	0	0	0	2	0	279	0	11	5174	0	2
HES4	13	2	0	0	0	0	36	170	1	31	7	0	0	0	0	2	0	15	0	207	1058	0	2
ISG15	7	12	0	0	0	0	268	26767	34	842	6	12	0	0	2	2	0	19	0	27069	4777	2	2
AGRN	711	1089	11	402	578	2633	3968	3613	153	1792	4345	12	165	514	7	11	8	1811	3613	7734	4777	686	19
BC033949	10	4	2	4	4	52	269	37	119	20	0	0	4	0	8	3	0	16	60	425	4728	12	3
C1orf159	312	2942	12	0	1648	1	935	27	7	140	4	8	15	104	16	11	13	3266	1649	969	4777	135	24
LOC254099	0	0	1	0	0	0	0	1	0	3	0	0	2	0	0	0	0	1	0	1	325	2	0
MIR200B	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	314	0	0
AK128833	2	5	5	2	2	0	2	1	2	3	0	2	0	8	1	2	2	12	4	5	314	9	4
TTLL10	5	10	133	3	5	3	11	9	8	6	2	9	2	9	3	7	3	148	11	28	289	14	10
TNFRSF18	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	5	216	4	0
TNFRSF4	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	7584	0	0
SDF4	35	1032	8	3	1294	6	1810	525	79	270	35	3	6	5	4	38	2	1075	1303	2414	22630	15	40
B3GALT6	0	1290	2	0	2	19	1900	314	5	4	1	6	69	0	0	1019	48	1292	21	2219	1900	69	1067
FAM132A	29	25	20	12	33	16	66	12	7	67	31	10	48	31	14	18	14	74	61	85	2553	93	32
UBE2J2	324	11	13	1	84	1000	995	425	43	44	60	3	26	1	841	224	12	348	1085	1463	6388	868	236
SCNN1D	1	4	5	0	22	0	171	532	1	9	0	0	0	0	2	6	1	10	22	704	10334	2	7
ACAP3	4	19	3	0	340	4	329	320	2	130	3	0	0	5	5	4	0	26	344	651	15716	10	4
PUSL1	0	0	0	0	12	1	667	160	5	29	1	2	2	0	14	1	2	0	13	832	1151	16	3
CPSF3L	4	94	2	4	4	1086	1032	3053	231	1453	3	3	42	1	22	0	497	100	1094	4316	6050	65	497
GLTPD1	0	0	0	2	510	7	123	973	0	4	4	0	1	1	2	0	0	0	519	1096	6037	4	0
DVL1	87	821	6	2	2	138	597	354	73	423	490	3	186	48	1217	2	253	914	142	1024	3492	1451	255
MXRA8	4	0	8	0	1	50	287	414	3	16	107	2	0	21	0	9	8	12	51	704	10928	21	17
AURKAIP1	0	426	3	0	201	85	874	504	93	1457	69	1	4	419	16	0	2	429	286	1471	10928	439	2
CCNL2	0	241	3	2193	1568	1788	1702	510	98	343	66	3	702	98	2508	6	526	244	5549	2310	8039	3308	532
LOC148413	321	207	2	37	189	125	488	212	78	1120	3	6	163	50	83	13	293	530	351	778	13327	296	306
MRPL20	785	210	2	145	190	151	1937	432	139	100	8	25	115	57	102	22	360	997	486	2508	11589	274	382
ANKRD65	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	2	35128	0	4
